naics97,naics02,mappings,wt_mappings
621330,621330,1,1
62134/,62134/,1,1
621340,621340,1,1
62139/,62139/,2,1
621391,621391,1,1
621399,621399,1,1
6214//,6214//,6,1
62141/,62141/,1,1
621410,621410,1,1
62142/,62142/,1,1
621420,621420,1,1
62149/,62149/,4,1
621491,621491,1,1
621492,621492,1,1
621493,621493,1,1
621498,621498,1,1
6215//,6215//,2,1
62151/,62151/,2,1
621511,621511,1,1
621512,621512,1,1
6216//,6216//,1,1
62161/,62161/,1,1
621610,621610,1,1
6219//,6219//,3,1
62191/,62191/,1,1
621910,621910,1,1
62199/,62199/,2,1
621991,621991,1,1
621999,621999,1,1
622///,622///,3,1
6221//,6221//,1,1
62211/,62211/,1,1
622110,622110,1,1
6222//,6222//,1,1
62221/,62221/,1,1
622210,622210,1,1
6223//,6223//,1,1
62231/,62231/,1,1
622310,622310,1,1
623///,623///,6,1
6231//,6231//,1,1
62311/,62311/,1,1
623110,623110,1,1
6232//,6232//,2,1
62321/,62321/,1,1
623210,623210,1,1
62322/,62322/,1,1
623220,623220,1,1
6233//,6233//,2,1
62331/,62331/,2,1
623311,623311,1,1
623312,623312,1,1
6239//,6239//,1,1
62399/,62399/,1,1
623990,623990,1,1
624///,624///,9,1
6241//,6241//,3,1
62411/,62411/,1,1
624110,624110,1,1
62412/,62412/,1,1
624120,624120,1,1
62419/,62419/,1,1
624190,624190,1,1
6242//,6242//,4,1
62421/,62421/,1,1
624210,624210,1,1
62422/,62422/,2,1
624221,624221,1,1
624229,624229,1,1
62423/,62423/,1,1
624230,624230,1,1
6243//,6243//,1,1
62431/,62431/,1,1
624310,624310,1,1
6244//,6244//,1,1
62441/,62441/,1,1
624410,624410,1,1
71----,71----,25,1
711///,711///,11,1
7111//,7111//,4,1
71111/,71111/,1,1
711110,711110,1,1
71112/,71112/,1,1
711120,711120,1,1
71113/,71113/,1,1
711130,711130,1,1
71119/,71119/,1,1
711190,711190,1,1
7112//,7112//,3,1
71121/,71121/,3,1
711211,711211,1,1
711212,711212,1,1
711219,711219,1,1
7113//,7113//,2,1
71131/,71131/,1,1
711310,711310,1,1
71132/,71132/,1,1
711320,711320,1,1
7114//,7114//,1,1
71141/,71141/,1,1
711410,711410,1,1
7115//,7115//,1,1
71151/,71151/,1,1
711510,711510,1,1
712///,712///,4,1
7121//,7121//,4,1
71211/,71211/,1,1
712110,712110,1,1
71212/,71212/,1,1
712120,712120,1,1
71213/,71213/,1,1
712130,712130,1,1
71219/,71219/,1,1
712190,712190,1,1
713///,713///,10,1
7131//,7131//,2,1
71311/,71311/,1,1
713110,713110,1,1
71312/,71312/,1,1
713120,713120,1,1
7132//,7132//,2,1
71321/,71321/,1,1
713210,713210,1,1
71329/,71329/,1,1
713290,713290,1,1
7139//,7139//,6,1
71391/,71391/,1,1
713910,713910,1,1
71392/,71392/,1,1
713920,713920,1,1
71393/,71393/,1,1
713930,713930,1,1
71394/,71394/,1,1
713940,713940,1,1
71395/,71395/,1,1
713950,713950,1,1
71399/,71399/,1,1
713990,713990,1,1
72----,72----,15,1
721///,721///,7,1
7211//,7211//,4,1
72111/,72111/,1,1
721110,721110,1,1
72112/,72112/,1,1
721120,721120,1,1
72119/,72119/,2,1
721191,721191,1,1
721199,721199,1,1
7212//,7212//,2,1
72121/,72121/,2,1
721211,721211,1,1
721214,721214,1,1
7213//,7213//,1,1
72131/,72131/,1,1
721310,721310,1,1
722///,722///,8,1
7221//,7221//,1,1
72211/,72211/,1,1
722110,722110,1,1
7222//,7222//,3,1
72221/,72221/,3,1
722211,722211,1,1
722212,722212,1,1
722213,722213,1,1
7223//,7223//,3,1
72231/,72231/,1,1
722310,722310,1,1
72232/,72232/,1,1
722320,722320,1,1
72233/,72233/,1,1
722330,722330,1,1
7224//,7224//,1,1
72241/,72241/,1,1
722410,722410,1,1
81----,81----,49,1
811///,811///,19,1
8111//,8111//,9,1
81111/,81111/,4,1
811111,811111,1,1
811112,811112,1,1
811113,811113,1,1
811118,811118,1,1
81112/,81112/,2,1
811121,811121,1,1
811122,811122,1,1
81119/,81119/,3,1
811191,811191,1,1
811192,811192,1,1
811198,811198,1,1
8112//,8112//,4,1
81121/,81121/,4,1
811211,811211,1,1
811212,811212,1,1
811213,811213,1,1
811219,811219,1,1
8113//,8113//,1,1
81131/,81131/,1,1
811310,811310,1,1
8114//,8114//,5,1
81141/,81141/,2,1
811411,811411,1,1
811412,811412,1,1
81142/,81142/,1,1
811420,811420,1,1
81143/,81143/,1,1
811430,811430,1,1
81149/,81149/,1,1
811490,811490,1,1
812///,812///,16,1
8121//,8121//,5,1
81211/,81211/,3,1
812111,812111,1,1
812112,812112,1,1
812113,812113,1,1
81219/,81219/,2,1
812191,812191,1,1
812199,812199,1,1
8122//,8122//,2,1
81221/,81221/,1,1
812210,812210,1,1
81222/,81222/,1,1
812220,812220,1,1
8123//,8123//,4,1
81231/,81231/,1,1
812310,812310,1,1
81232/,81232/,1,1
812320,812320,1,1
81233/,81233/,2,1
812331,812331,1,1
812332,812332,1,1
8129//,8129//,5,1
81291/,81291/,1,1
812910,812910,1,1
81292/,81292/,2,1
812921,812921,1,1
812922,812922,1,1
81293/,81293/,1,1
812930,812930,1,1
81299/,81299/,1,1
812990,812990,1,1
813///,813///,13,1
8131//,8131//,1,1
81311/,81311/,1,1
813110,813110,1,1
8132//,8132//,3,1
81321/,81321/,3,1
813211,813211,1,1
813212,813212,1,1
813219,813219,1,1
8133//,8133//,3,1
81331/,81331/,3,1
813311,813311,1,1
813312,813312,1,1
813319,813319,1,1
8134//,8134//,1,1
81341/,81341/,1,1
813410,813410,1,1
8139//,8139//,5,1
81391/,81391/,1,1
813910,813910,1,1
81392/,81392/,1,1
813920,813920,1,1
81393/,81393/,1,1
813930,813930,1,1
81394/,81394/,1,1
813940,813940,1,1
81399/,81399/,1,1
813990,813990,1,1
814///,814///,1,1
8141//,8141//,1,1
81411/,81411/,1,1
814110,814110,1,1
92----,92----,29,1
921///,921///,6,1
9211//,9211//,6,1
92111/,92111/,1,1
921110,921110,1,1
92112/,92112/,1,1
921120,921120,1,1
92113/,92113/,1,1
921130,921130,1,1
92114/,92114/,1,1
921140,921140,1,1
92115/,92115/,1,1
921150,921150,1,1
92119/,92119/,1,1
921190,921190,1,1
922///,922///,7,1
9221//,9221//,7,1
92211/,92211/,1,1
922110,922110,1,1
92212/,92212/,1,1
922120,922120,1,1
92213/,92213/,1,1
922130,922130,1,1
92214/,92214/,1,1
922140,922140,1,1
92215/,92215/,1,1
922150,922150,1,1
92216/,92216/,1,1
922160,922160,1,1
92219/,92219/,1,1
922190,922190,1,1
923///,923///,4,1
9231//,9231//,4,1
92311/,92311/,1,1
923110,923110,1,1
92312/,92312/,1,1
923120,923120,1,1
92313/,92313/,1,1
923130,923130,1,1
92314/,92314/,1,1
923140,923140,1,1
924///,924///,2,1
9241//,9241//,2,1
92411/,92411/,1,1
924110,924110,1,1
92412/,92412/,1,1
924120,924120,1,1
925///,925///,2,1
9251//,9251//,2,1
92511/,92511/,1,1
925110,925110,1,1
92512/,92512/,1,1
925120,925120,1,1
926///,926///,5,1
9261//,9261//,5,1
92611/,92611/,1,1
926110,926110,1,1
92612/,92612/,1,1
926120,926120,1,1
92613/,92613/,1,1
926130,926130,1,1
92614/,92614/,1,1
926140,926140,1,1
92615/,92615/,1,1
926150,926150,1,1
927///,927///,1,1
9271//,9271//,1,1
92711/,92711/,1,1
927110,927110,1,1
928///,928///,2,1
9281//,9281//,2,1
92811/,92811/,1,1
928110,928110,1,1
92812/,92812/,1,1
928120,928120,1,1
949///,949///,1,1
9499//,9499//,1,1
949999,95----,1,1
99----,99----,1,1
