naics97,naics02,mappings,wt_mappings
32312/,32312/,2,1
323121,323121,1,1
323122,323122,1,1
324///,324///,5,1
3241//,3241//,5,1
32411/,32411/,1,1
324110,324110,1,1
32412/,32412/,2,1
324121,324121,1,1
324122,324122,1,1
32419/,32419/,2,1
324191,324191,1,1
324199,324199,1,1
325///,325///,34,1
3251//,3251//,11,1
32511/,32511/,1,1
325110,325110,1,1
32512/,32512/,1,1
325120,325120,1,1
32513/,32513/,2,1
325131,325131,1,1
325132,325132,1,1
32518/,32518/,3,1
325181,325181,1,1
325182,325182,1,1
325188,325188,1,1
32519/,32519/,4,1
325191,325191,1,1
325192,325192,1,1
325193,325193,1,1
325199,325199,1,1
3252//,3252//,4,1
32521/,32521/,2,1
325211,325211,1,1
325212,325212,1,1
32522/,32522/,2,1
325221,325221,1,1
325222,325222,1,1
3253//,3253//,4,1
32531/,32531/,3,1
325311,325311,1,1
325312,325312,1,1
325314,325314,1,1
32532/,32532/,1,1
325320,325320,1,1
3254//,3254//,4,1
32541/,32541/,4,1
325411,325411,1,1
325412,325412,1,1
325413,325413,1,1
325414,325414,1,1
3255//,3255//,2,1
32551/,32551/,1,1
325510,325510,1,1
32552/,32552/,1,1
325520,325520,1,1
3256//,3256//,4,1
32561/,32561/,3,1
325611,325611,1,1
325612,325612,1,1
325613,325613,1,1
32562/,32562/,1,1
325620,325620,1,1
3259//,3259//,5,1
32591/,32591/,1,1
325910,325910,1,1
32592/,32592/,1,1
325920,325920,1,1
32599/,32599/,3,1
325991,325991,1,1
325992,325992,1,1
325998,325998,1,1
326///,326///,17,1
3261//,3261//,12,1
32611/,32611/,3,1
326111,326111,1,1
326112,326112,1,1
326113,326113,1,1
32612/,32612/,2,1
326121,326121,1,1
326122,326122,1,1
32613/,32613/,1,1
326130,326130,1,1
32614/,32614/,1,1
326140,326140,1,1
32615/,32615/,1,1
326150,326150,1,1
32616/,32616/,1,1
326160,326160,1,1
32619/,32619/,3,1
326191,326191,1,1
326192,326192,1,1
326199,326199,1,1
3262//,3262//,5,1
32621/,32621/,2,1
326211,326211,1,1
326212,326212,1,1
32622/,32622/,1,1
326220,326220,1,1
32629/,32629/,2,1
326291,326291,1,1
326299,326299,1,1
327///,327///,24,1
3271//,3271//,8,1
32711/,32711/,3,1
327111,327111,1,1
327112,327112,1,1
327113,327113,1,1
32712/,32712/,5,1
327121,327121,1,1
327122,327122,1,1
327123,327123,1,1
327124,327124,1,1
327125,327125,1,1
3272//,3272//,4,1
32721/,32721/,4,1
327211,327211,1,1
327212,327212,1,1
327213,327213,1,1
327215,327215,1,1
3273//,3273//,5,1
32731/,32731/,1,1
327310,327310,1,1
32732/,32732/,1,1
327320,327320,1,1
32733/,32733/,2,1
327331,327331,1,1
327332,327332,1,1
32739/,32739/,1,1
327390,327390,1,1
3274//,3274//,2,1
32741/,32741/,1,1
327410,327410,1,1
