sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
0273,112512,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
0273,112519,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
0279,112519,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
0279,112910,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
0279,112990,,1,1,,.33333334,.33333334,,,,,.33333334,1,0,.33333334,official,,,,,,1
0290,1129//,0,1,1,,1,1,,,,,1,1,0,1,,,,,,,1
0291,112990,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
07--,11----,0,21,21,,.69999999,.69999999,,,,,.69999999,1,0,.69999999,,,,,,,1
07--,31----,0,2,2,,.06666667,.06666667,,,,,.06666667,1,0,.06666667,,,,,,,1
07--,54----,0,4,4,,.13333334,.13333334,,,,,.13333334,1,0,.13333334,,,,,,,1
07--,56----,0,2,2,,.06666667,.06666667,,,,,.06666667,1,0,.06666667,,,,,,,1
07--,81----,0,1,1,,.033333335,.033333335,,,,,.033333335,1,0,.033333335,,,,,,,1
0700,115///,0,9,9,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0700,311///,0,2,2,,.11111111,.11111111,,,,,.11111111,1,0,.11111111,,,,,,,1
0700,541///,0,4,4,,.22222222,.22222222,,,,,.22222222,1,0,.22222222,,,,,,,1
0700,561///,0,2,2,,.11111111,.11111111,,,,,.11111111,1,0,.11111111,,,,,,,1
0700,812///,0,1,1,,.055555556,.055555556,,,,,.055555556,1,0,.055555556,,,,,,,1
0710,1151//,0,1,1,,1,1,,,,,1,1,0,1,,,,,,,1
0711,115112,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0720,1151//,0,4,4,,.80000001,.80000001,,,,,.80000001,1,0,.80000001,,,,,,,1
0720,3111//,0,1,1,,.2,.2,,,,,.2,1,0,.2,,,,,,,1
0721,115112,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0722,115113,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0723,115114,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0723,311119,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0724,115111,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0740,5419//,0,2,2,,1,1,,,,,1,1,0,1,,,,,,,1
0741,541940,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0742,541940,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0750,1152//,0,2,2,,.5,.5,,,,,.5,1,0,.5,,,,,,,1
0750,3116//,0,1,1,,.25,.25,,,,,.25,1,0,.25,,,,,,,1
0750,8129//,0,1,1,,.25,.25,,,,,.25,1,0,.25,,,,,,,1
0751,115210,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0751,311611,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0752,115210,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0752,812910,,1,1,,.5,.5,,,,,.5,1,0,.5,official,,,,,,1
0760,1151//,0,2,2,,1,1,,,,,1,1,0,1,,,,,,,1
0761,115115,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
0762,115116,,1,1,,1,1,,,,,1,1,0,1,official,,,,,,1
