sic72,sic77,mappings,weight_mappings
2720,2720,1,1
2721,2721,1,1
2730,2730,2,1
2731,2731,1,1
2732,2732,1,1
2740,2740,1,1
2741,2741,1,1
2750,2750,4,1
2751,2751,1,1
2752,2752,1,1
2753,2753,1,1
2754,2754,1,1
2760,2760,1,1
2761,2761,1,1
2770,2770,1,1
2771,2771,1,1
2780,2780,2,1
2782,2782,1,1
2789,2789,1,1
2790,2790,4,1
2791,2791,1,1
2793,2793,1,1
2794,2794,1,1
2795,2795,1,1
2800,2800,28,1
2810,2810,4,1
2812,2812,1,1
2813,2813,1,1
2816,2816,1,1
2819,2819,1,1
2820,2820,4,1
2821,2821,1,1
2822,2822,1,1
2823,2823,1,1
2824,2824,1,1
2830,2830,3,1
2831,2831,1,1
2833,2833,1,1
2834,2834,1,1
2840,2840,4,1
2841,2841,1,1
2842,2842,1,1
2843,2843,1,1
2844,2844,1,1
2850,2850,1,1
2851,2851,1,1
2860,2860,3,1
2861,2861,1,1
2865,2865,1,1
2869,2869,1,1
2870,2870,4,1
2873,2873,1,1
2874,2874,1,1
2875,2875,1,1
2879,2879,1,1
2890,2890,5,1
2891,2891,1,1
2892,2892,1,1
2893,2893,1,1
2895,2895,1,1
2899,2899,1,1
2900,2900,5,1
2910,2910,1,1
2911,2911,1,1
2950,2950,2,1
2951,2951,1,1
2952,2952,1,1
2990,2990,2,1
2992,2992,1,1
2999,2999,1,1
3000,3000,6,1
3010,3010,1,1
3011,3011,1,1
3020,3020,1,1
3021,3021,1,1
3030,3030,1,1
3031,3031,1,1
3040,3040,1,1
3041,3041,1,1
3060,3060,1,1
3069,3069,1,1
3070,3070,1,1
3079,3079,1,1
3100,3100,11,1
3110,3110,1,1
3111,3111,1,1
3130,3130,1,1
3131,3131,1,1
3140,3140,4,1
3142,3142,1,1
3143,3143,1,1
3144,3144,1,1
3149,3149,1,1
3150,3150,1,1
3151,3151,1,1
3160,3160,1,1
3161,3161,1,1
3170,3170,2,1
3171,3171,1,1
3172,3172,1,1
3190,3190,1,1
3199,3199,1,1
3200,3200,27,1
3210,3210,1,1
3211,3211,1,1
3220,3220,2,1
