stcode,state,cocode,geoname
32,IN,30,BENTON
32,IN,40,BLACKFORD
32,IN,50,BOONE
32,IN,60,BROWN
32,IN,70,CARROLL
32,IN,80,CASS
32,IN,90,CLARK
32,IN,100,CLAY
32,IN,110,CLINTON
32,IN,120,CRAWFORD
32,IN,130,DAVIESS
32,IN,140,DEARBORN
32,IN,150,DECATUR
32,IN,160,DE KALB
32,IN,170,DELAWARE
32,IN,180,DUBOIS
32,IN,190,ELKHART
32,IN,200,FAYETTE
32,IN,210,FLOYD
32,IN,220,FOUNTAIN
32,IN,230,FRANKLIN
32,IN,240,FULTON
32,IN,250,GIBSON
32,IN,260,GRANT
32,IN,270,GREENE
32,IN,280,HAMILTON
32,IN,290,HANCOCK
32,IN,300,HARRISON
32,IN,310,HENDRICKS
32,IN,320,HENRY
32,IN,330,HOWARD
32,IN,340,HUNTINGTON
32,IN,350,JACKSON
32,IN,360,JASPER
32,IN,370,JAY
32,IN,380,JEFFERSON
32,IN,390,JENNINGS
32,IN,400,JOHNSON
32,IN,410,KNOX
32,IN,420,KOSCIUSKO
32,IN,430,LAGRANGE
32,IN,440,LAKE
32,IN,450,LA PORTE
32,IN,460,LAWRENCE
32,IN,470,MADISON
32,IN,480,MARION
32,IN,490,MARSHALL
32,IN,500,MARTIN
32,IN,510,MIAMI
32,IN,520,MONROE
32,IN,530,MONTGOMERY
32,IN,540,MORGAN
32,IN,550,NEWTON
32,IN,560,NOBLE
32,IN,570,OHIO
32,IN,580,ORANGE
32,IN,590,OWEN
32,IN,600,PARKE
32,IN,610,PERRY
32,IN,620,PIKE
32,IN,630,PORTER
32,IN,640,POSEY
32,IN,650,PULASKI
32,IN,660,PUTNAM
32,IN,670,RANDOLPH
32,IN,680,RIPLEY
32,IN,690,RUSH
32,IN,700,ST JOSEPH
32,IN,710,SCOTT
32,IN,720,SHELBY
32,IN,730,SPENCER
32,IN,740,STARKE
32,IN,750,STEUBEN
32,IN,760,SULLIVAN
32,IN,770,SWITZERLAND
32,IN,780,TIPPECANOE
32,IN,790,TIPTON
32,IN,800,UNION
32,IN,810,VANDERBURGH
32,IN,820,VERMILLION
32,IN,830,VIGO
32,IN,840,WABASH
32,IN,850,WARREN
32,IN,860,WARRICK
32,IN,870,WASHINGTON
32,IN,880,WAYNE
32,IN,890,WELLS
32,IN,900,WHITE
32,IN,910,WHITLEY
32,IN,990,STATEWIDE
33,IL,0,ADAMS
33,IL,10,ALEXANDER
33,IL,20,BOND
33,IL,30,BOONE
33,IL,41,BROWN
33,IL,42,SCHUYLER
33,IL,50,BUREAU
33,IL,60,CALHOUN
33,IL,70,CARROLL
33,IL,80,CASS
33,IL,90,CHAMPAIGN
33,IL,100,CHRISTIAN
33,IL,110,CLARK
33,IL,120,CLAY
33,IL,130,CLINTON
33,IL,140,COLES
33,IL,150,CRAWFORD
33,IL,160,CUMBERLAND
33,IL,170,DE KALB
33,IL,180,DE WITT
33,IL,190,DOUGLAS
33,IL,200,COOK
33,IL,210,UNION
33,IL,220,VERMILION
33,IL,230,WABASH
33,IL,240,WARREN
33,IL,250,DU PAGE
33,IL,260,WASHINGTON
33,IL,270,WAYNE
33,IL,280,WHITE
33,IL,290,WHITESIDE
33,IL,300,WILL
33,IL,310,EDGAR
33,IL,320,EDWARDS
33,IL,330,EFFINGHAM
33,IL,340,FAYETTE
33,IL,350,FORD
33,IL,360,FRANKLIN
33,IL,370,FULTON
33,IL,381,GALLATIN
33,IL,382,HARDIN
33,IL,390,GREENE
33,IL,400,GRUNDY
33,IL,410,HAMILTON
33,IL,420,HANCOCK
33,IL,430,WILLIAMSON
33,IL,440,HENDERSON
33,IL,450,HENRY
33,IL,460,IROQUOIS
33,IL,470,JACKSON
33,IL,480,JASPER
33,IL,490,JEFFERSON
33,IL,500,JERSEY
33,IL,510,JO DAVIESS
33,IL,521,JOHNSON
33,IL,522,POPE
33,IL,530,KANE
33,IL,540,KANKAKEE
33,IL,550,KENDALL
33,IL,560,KNOX
33,IL,570,LAKE
33,IL,580,LA SALLE
33,IL,590,LAWRENCE
33,IL,600,LEE
33,IL,610,LIVINGSTON
33,IL,620,LOGAN
33,IL,630,MCDONOUGH
33,IL,640,MCHENRY
33,IL,650,MCLEAN
33,IL,660,MACON
33,IL,670,MACOUPIN
33,IL,680,MADISON
33,IL,690,MARION
33,IL,700,MARSHALL
33,IL,710,MASON
33,IL,720,MASSAC
33,IL,730,MENARD
33,IL,740,MERCER
33,IL,750,MONROE
33,IL,760,MONTGOMERY
33,IL,770,MORGAN
33,IL,780,MOULTRIE
33,IL,790,OGLE
33,IL,800,PEORIA
33,IL,810,PERRY
33,IL,820,PIATT
33,IL,830,PIKE
33,IL,840,WINNEBAGO
33,IL,850,PULASKI
33,IL,860,PUTNAM
33,IL,870,RANDOLPH
33,IL,880,RICHLAND
33,IL,890,ROCK ISLAND
33,IL,900,ST CLAIR
33,IL,910,SALINE
33,IL,920,SANGAMON
33,IL,930,WOODFORD
33,IL,940,SCOTT
33,IL,950,SHELBY
33,IL,960,STARK
33,IL,970,STEPHENSON
33,IL,980,TAZEWELL
33,IL,990,STATEWIDE
35,MI,0,ALCONA
35,MI,10,ALGER
35,MI,20,ALLEGAN
35,MI,30,ALPENA
35,MI,40,ANTRIM
35,MI,50,ARENAC
35,MI,60,BARAGA
35,MI,70,BARRY
35,MI,80,BAY
35,MI,90,BENZIE
35,MI,100,BERRIEN
35,MI,110,BRANCH
35,MI,120,CALHOUN
35,MI,130,CASS
35,MI,140,CHARLEVOIX
35,MI,150,CHEBOYGAN
35,MI,160,CHIPPEWA
35,MI,170,CLARE
35,MI,180,CLINTON
35,MI,190,CRAWFORD
35,MI,200,DELTA
35,MI,210,DICKINSON
35,MI,220,EATON
35,MI,230,EMMET
35,MI,240,GENESEE
35,MI,250,GLADWIN
35,MI,260,GOGEBIC
35,MI,270,GRAND TRAVERSE
35,MI,280,GRATIOT
35,MI,290,HILLSDALE
35,MI,300,HOUGHTON
35,MI,310,HURON
35,MI,320,INGHAM
35,MI,330,IONIA
35,MI,340,IOSCO
35,MI,350,IRON
35,MI,360,ISABELLA
35,MI,370,JACKSON
35,MI,380,KALAMAZOO
35,MI,390,KALKASKA
35,MI,400,KENT
35,MI,410,KEWEENAW
35,MI,420,LAKE
35,MI,430,LAPEER
35,MI,440,LEELANAU
35,MI,450,LENAWEE
35,MI,460,LIVINGSTON
35,MI,470,LUCE
35,MI,480,MACKINAC
35,MI,490,MACOMB
35,MI,500,MANISTEE
35,MI,510,MARQUETTE
35,MI,520,MASON
35,MI,530,MECOSTA
35,MI,540,MENOMINEE
35,MI,550,MIDLAND
35,MI,560,MISSAUKEE
35,MI,570,MONROE
35,MI,580,MONTCALM
35,MI,590,MONTMORENCY
35,MI,600,MUSKEGON
35,MI,610,NEWAYGO
35,MI,620,OAKLAND
35,MI,630,OCEANA
35,MI,640,OGEMAW
35,MI,650,ONTONAGON
35,MI,660,OSCEOLA
35,MI,670,OSCODA
35,MI,680,OTSEGO
35,MI,690,OTTAWA
35,MI,700,PRESQUE ISLE
35,MI,710,ROSCOMMON
35,MI,720,SAGINAW
35,MI,730,ST CLAIR
35,MI,740,ST JOSEPH
35,MI,750,SANILAC
35,MI,760,SCHOOLCRAFT
35,MI,770,SHIAWASSEE
35,MI,780,TUSCOLA
35,MI,790,VAN BUREN
35,MI,800,WASHTENAW
35,MI,810,WAYNE
35,MI,830,WEXFORD
35,MI,990,STATEWIDE
36,WI,0,ADAMS
36,WI,10,ASHLAND
36,WI,20,BARRON
36,WI,30,BAYFIELD
36,WI,40,BROWN
36,WI,50,BUFFALO
36,WI,60,BURNETT
36,WI,70,CALUMET
36,WI,80,CHIPPEWA
36,WI,90,CLARK
36,WI,100,COLUMBIA
36,WI,110,CRAWFORD
36,WI,120,DANE
36,WI,130,DODGE
36,WI,140,DOOR
36,WI,150,DOUGLAS
36,WI,160,DUNN
36,WI,170,EAU CLAIRE
36,WI,180,FLORENCE
36,WI,190,FOND DU LAC
36,WI,200,FOREST
36,WI,210,GRANT
36,WI,220,GREEN
36,WI,230,GREEN LAKE
36,WI,240,IOWA
36,WI,250,IRON
36,WI,260,JACKSON
36,WI,270,JEFFERSON
36,WI,280,JUNEAU
36,WI,290,KENOSHA
36,WI,300,KEWAUNEE
36,WI,310,LA CROSSE
36,WI,320,LAFAYETTE
36,WI,330,LANGLADE
36,WI,340,LINCOLN
36,WI,350,MANITOWOC
36,WI,360,MARATHON
36,WI,370,MARINETTE
36,WI,380,MARQUETTE
36,WI,390,MILWAUKEE
36,WI,400,MONROE
36,WI,410,OCONTO
36,WI,420,ONEIDA
36,WI,430,OUTAGAMIE
36,WI,440,OZAUKEE
36,WI,450,PEPIN
36,WI,460,PIERCE
36,WI,470,POLK
36,WI,480,PORTAGE
36,WI,490,PRICE
36,WI,500,RACINE
36,WI,510,RICHLAND
36,WI,520,ROCK
36,WI,530,RUSK
36,WI,540,ST CROIX
36,WI,550,SAUK
36,WI,560,SAWYER
36,WI,570,SHAWANO
36,WI,580,SHEBOYGAN
36,WI,590,TAYLOR
36,WI,600,TREMPEALEAU
36,WI,610,VERNON
36,WI,620,VILAS
36,WI,630,WALWORTH
36,WI,640,WASHBURN
36,WI,650,WASHINGTON
