book_id,file,state,city,year,n_rows,n_pages,n_listings,n_categories,n_sets,categories_sample,year_fct,year_num
book_02138.CSV,book_02138.CSV,,,,0,0,0,0,0,ERROR,,
book_02139.csv,book_02139.csv,,,,0,0,0,0,0,ERROR,,
02140,book_02140.csv,California,Huntington Beach,1963,43413,199,7208,631,2,; Adding & Calculating Machines &; Adjusters; Advertising Service; Advertising Specialties; Advertising-Direct Mail; Advertising-Directory & Guide; Advertising-Outdoor; Air Compressors; Air Compressors-,1963,1963
book_02180.csv,book_02180.csv,,,,0,0,0,0,0,ERROR,,
02184,book_02184.csv,California,Lompoc,1959,62921,312,6942,758,6,; & Supplies-Renting; Ageneies-; Air Line Companies-; Aircraft Charter & Rental Service; Aircraft Parts; Airports; Antennas-; Antiques-Dealers; Apartments,1959,1959
02568,book_02568.csv,California,Los Angeles (Western),1958,33267,158,4100,634,2,";  Reducing Methods, Refrigeration Equipment-commercial;  Sprinklers-Lawn & Irrigation,;  Washing Machines, Dryers & lroners; Air Line Companies-; Air Taxi & Charter Service; aircraft part assemblers; Aircraft Supplies; Aluminum; ambulance service",1958,1958
02573,book_02573.csv,California,Los Angeles (Western),1955,41951,177,8192,621,2," Mufflers-Exhaust ,Multi-Copy Service-; & Dealers-; & Parts-; Adding & Calculating Machines; Adhesives; Advertising Agencies; Advertising-Direct Mail; Air Conditioners-Room; Air Line Companies; Air Line Companies-",1955,1955
02574,book_02574.csv,California,Los Angeles (Western),1962,134649,227,85324,223,2,Abrams-Adair; Adler-Aida; albert's-Alison; Allen-Alston; American-Anderson; Anderson-Anne; Aratin-Armstrong; Art-Associated; Austin-B B O; Baggett-Baker,1962,1962
02576,book_02576.csv,California,Los Angeles (Western),1961,15706,60,2341,471,2,";  Glass-Auto, Plate, Window, Etc;  Physicians & Surgeons, M.D.-;  Relrigeration Equipment-Commercia,; Air Conditioning Equipment Servicing, Air Line Companies; Air Travel Ticket Agencies, Aircraft Schools; Aircraft Charter & Rental Service; Aircraft Mfrs; Aircraft Service & Maintenance; Ambulance Service",1961,1961
02577,book_02577.csv,California,Los Angeles (Western),1957,50013,218,9543,498,2,";  Fur Dealers-Retail , Fur Dealers-Retail-; (Cont'd),; (Cont'd), (Cont'd), (Cont'd), (Cont'd), (Cont'd),; Air Conditioning Equipment; Air Line Companies-; Air Line Ticket Agencies-; Aircraft Equipment & Supplies; Aircraft Parts & Supplies-Whsle; Aircraft Parts Assemblers",1957,1957
