psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
51,3,3,1,378,0,0,230,1,300,1949
75,2,1,1,411,0,0,20,1,448,1949
88,2,3,1,208,0,0,0,0,620,1949
76,3,2,1,208,0,8500,20,1,650,1949
84,8,2,1,473,0,0,20,1,365,1949
14,3,5,1,411,0,1100,0,0,250,1949
35,1,2,2,319,0,0,20,1,153,1949
35,1,3,2,208,0,0,0,0,174,1949
35,4,1,1,353,0,0,0,0,0,1949
35,6,5,1,353,0,50,10,1,51,1949
76,3,3,1,411,50,0,0,0,300,1949
78,2,6,2,208,0,0,0,0,60,1949
78,5,4,1,208,0,0,0,0,600,1949
76,4,2,1,411,0,0,10,1,240,1949
76,4,3,1,208,0,0,50,1,260,1949
11,4,3,1,411,0,0,0,0,322,1949
11,4,3,1,234,0,0,0,1,360,1949
85,5,5,1,378,50,100,0,1,234,1949
64,2,4,1,208,0,1500,200,1,1796,1949
64,2,5,1,208,0,0,10,1,340,1949
75,4,2,1,411,0,300,10,1,323,1949
64,3,4,1,208,0,0,0,0,710,1949
35,3,1,1,208,0,300,100,1,540,1949
64,2,3,1,208,0,0,150,1,1009,1949
89,4,2,1,208,0,0,50,1,360,1949
89,2,5,2,411,0,0,0,1,128,1949
75,2,6,1,208,0,0,0,0,183,1949
35,4,4,1,208,0,0,0,0,101,1949
80,5,3,1,208,0,0,0,0,449,1949
35,2,2,1,208,0,0,0,0,342,1949
48,4,3,1,208,0,0,150,1,475,1949
64,2,6,1,208,0,0,0,0,300,1949
82,7,3,1,135,350,0,30,1,275,1949
51,6,3,1,353,0,250,0,0,280,1949
51,2,6,1,353,0,0,0,1,120,1949
51,4,6,1,353,0,0,0,0,210,1949
51,1,6,1,353,0,0,0,0,30,1949
42,2,2,1,353,0,0,0,0,510,1949
89,3,6,1,208,0,0,0,0,295,1949
25,2,5,1,473,0,0,0,0,465,1949
15,5,2,1,411,50,0,0,0,302,1949
15,3,3,1,411,0,500,0,0,225,1949
15,3,4,1,135,0,400,0,0,1000,1949
92,3,3,1,473,0,0,0,0,234,1949
92,2,4,1,208,0,0,0,0,252,1949
92,4,3,1,473,0,0,150,1,430,1949
92,2,5,1,208,0,120,30,1,492,1949
64,3,4,1,208,0,0,150,1,1750,1949
88,2,3,1,411,0,300,0,0,350,1949
88,4,2,1,411,0,0,0,0,450,1949
64,4,3,1,208,350,0,50,1,370,1949
66,1,6,2,473,0,0,0,0,50,1949
14,3,3,1,411,0,0,0,0,358,1949
51,2,4,1,208,0,200,0,0,640,1949
89,2,5,1,208,0,0,0,1,1298,1949
35,1,4,1,319,0,0,0,0,179,1949
84,4,3,1,208,0,3500,0,0,420,1949
84,3,3,1,473,0,0,30,1,577,1949
84,5,3,1,473,0,0,20,1,280,1949
80,2,2,1,411,0,0,0,0,368,1949
42,2,6,1,378,0,0,0,0,498,1949
80,1,6,2,208,0,0,0,0,27,1949
48,5,4,1,208,0,0,0,0,250,1949
35,3,3,1,378,0,0,0,0,180,1949
35,2,6,1,378,0,0,0,0,59,1949
64,4,3,1,208,0,0,20,1,482,1949
16,5,3,1,234,0,0,300,1,1400,1949
16,7,3,1,411,0,0,0,0,330,1949
12,4,4,1,234,0,0,130,1,780,1949
12,2,4,1,234,0,0,0,0,337,1949
39,2,6,1,378,0,0,0,0,602,1949
15,1,6,2,411,0,0,0,0,75,1949
12,2,2,1,234,0,0,0,0,300,1949
12,2,5,1,234,0,0,30,1,310,1949
12,2,1,1,234,0,0,0,0,351,1949
84,3,5,1,208,0,0,0,1,830,1949
