durable,income,debt,year,weight,durable_debt,has_card_b,card_spend_b,card_bal_b,has_card_s,card_spend_s,card_bal_s,state
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6500,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2040,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
229,6500,1092,1960,1,0,,,,,,,
120,5000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",8256,668,1960,1,0,,,,,,,
100,,700,1960,1,100,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5550,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1200,0,1960,1,0,,,,,,,
200,7700,0,1960,1,0,,,,,,,
198,2087,177,1960,1,198,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4400,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1710,0,1960,1,0,,,,,,,
500,4000,1785,1960,1,500,,,,,,,
200,5528,140,1960,1,0,,,,,,,
270,1800,870,1960,1,270,,,,,,,
341,4600,1414,1960,1,341,,,,,,,
190,4957,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3400,1950,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3900,100,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2300,1135,1960,1,0,,,,,,,
600,8100,1400,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2196,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5500,2200,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",30000,0,1960,1,0,,,,,,,
150,5500,0,1960,1,0,,,,,,,
729,8500,1959,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",5603,0,1960,1,0,,,,,,,
54,4164,0,1960,1,0,,,,,,,
80,4900,1733,1960,1,0,,,,,,,
355,6000,2300,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4150,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4644,1500,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",,2874,1960,1,0,,,,,,,
500,8770,150,1960,1,500,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",3600,170,1960,1,0,,,,,,,
179,7000,0,1960,1,0,,,,,,,
185,7000,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",9500,0,1960,1,0,,,,,,,
612,2500,1535,1960,1,306,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6474,2070,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",6500,699,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",1806,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",12160,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",10500,0,1960,1,0,,,,,,,
138,10786,137,1960,1,138,,,,,,,
219,,300,1960,1,219,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",2932,825,1960,1,0,,,,,,,
345,,0,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",4000,0,1960,1,0,,,,,,,
350,3000,0,1960,1,0,,,,,,,
286,8025,50,1960,1,143,,,,,,,
100,6900,1124,1960,1,0,,,,,,,
"AMOUNT OF TRADE-IN EQUALS TOTAL EXPENDITURE; INAP, (CODED 0 IN V195)",516,0,1960,1,0,,,,,,,
