psu,weight,durable_price,durable,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,payment_method,year,code_string,code_a_string,television,refrigerator,washing_machine,cook_stove,clothes_dryer,dishwasher,freezer,credit_use,psu2,city_cca
3856,31,1250,1250,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,38,
&121,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,&1,Newark
0618,31,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,06,
4501,32,169,169,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,45,
5411,32,164,164,5,0,0,0,0,0,0,0,0,2,1959,500000,000,0,0,0,0,0,0,0,1,54,Columbus
3808,34,1009,1009,1,8,&,0,0,0,3,0,0,3,1959,18&000,300,1,0,0,0,0,0,1,0.5,38,
3229,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
5401,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,54,Columbus
3513,32,427,427,1,3,0,0,0,0,0,0,0,3,1959,130000,000,1,0,1,0,0,0,0,0.5,35,Indianapolis
9817,31,358,358,1,5,0,0,0,0,0,0,0,2,1959,150000,000,1,0,0,0,0,0,0,1,98,
8711,31,274,274,1,0,0,0,0,0,0,0,0,2,1959,100000,000,1,0,0,0,0,0,0,1,87,
4110,35,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,41,
0801,29,183,183,3,0,0,0,0,0,0,0,0,1,1959,300000,000,0,0,1,0,0,0,0,0,08,"Washington, D.C."
2619,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,26,
3129,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,31,
5210,34,25,25,5,0,0,0,0,0,0,0,0,1,1959,500000,000,0,0,0,0,0,0,0,0,52,
7821,31,50,50,1,0,0,0,0,0,0,0,0,2,1959,100000,000,1,0,0,0,0,0,0,1,78,
2615,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,26,
3911,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,39,
3134,35,268,268,4,0,0,0,0,0,0,0,0,1,1959,400000,000,0,0,0,1,0,0,0,0,31,
0743,30,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,07,Long Beach
2412,33,129,129,&,0,0,0,0,0,2,0,0,2,1959,&00000,200,0,0,0,0,0,0,0,1,24,
4610,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,46,Columbus
3221,34,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,32,
2427,33,725,725,1,5,8,0,0,0,0,0,0,1,1959,158000,000,1,0,0,0,0,0,0,0,24,
8719,31,300,225,4,0,0,0,0,0,0,0,0,1,1959,400000,000,0,0,0,1,0,0,0,0,87,
-718,34,0,0,1,3,5,&,0,0,2,5,0,2,1959,135&00,250,1,0,1,0,0,0,0,1,-7,San Jose
6404,32,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,64,
3120,35,175,175,8,0,0,0,0,0,0,0,0,2,1959,800000,000,0,0,0,0,0,0,0,1,31,
4653,33,0,0,0,0,0,0,0,0,0,0,0,0,1959,000000,000,0,0,0,0,0,0,0,,46,Columbus
