weight,debt,durable,durable_debt,income,year,has_card,card_spend,card_bal,has_card_s,card_spend_s,card_bal_s
1,,600,0,23750,1977,1,1356,0,1,,
1,,550,0,16250,1977,1,564,0,1,144,
1,,875,0,16250,1977,1,0,20,1,,20
1,,0,0,,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,32500,1977,1,2040,400,1,600,400
1,,550,250,62500,1977,1,16800,100,1,1800,
1,,1150,400,8250,1977,1,0,920,1,,710
1,,1160,0,11750,1977,1,0,60,1,,60
1,,800,800,18750,1977,0,0,0,,,
1,,0,0,8250,1977,0,0,0,,,
1,,1200,0,27500,1977,1,240,0,1,,
1,,0,0,1000,1977,0,0,0,,,
1,,488,0,11750,1977,1,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,233,0,23750,1977,1,0,0,1,,
1,,800,800,4500,1977,0,0,0,,,
1,,2200,2200,37500,1977,1,31440,1600,1,1200,1000
1,,3150,2000,23750,1977,1,8700,725,1,,
1,,100,0,21250,1977,1,5400,700,1,3600,400
1,,1100,0,,1977,1,1380,0,1,1200,
1,,1200,0,,1977,1,0,0,1,,
1,,390,0,18750,1977,1,0,0,,,
1,,800,0,23750,1977,1,2400,0,1,2400,
1,,0,0,,1977,0,0,0,,,
1,,500,0,8250,1977,1,228,0,1,228,
1,,1000,0,32500,1977,1,1140,25,1,300,25
1,,0,0,,1977,1,0,0,1,,
1,,1379,0,27500,1977,1,240,285,1,240,35
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,11750,1977,0,0,0,,,
1,,0,0,16250,1977,1,660,0,1,,
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,,1977,1,0,0,1,,
1,,135,125,9500,1977,0,0,0,,,
1,,313,0,,1977,0,0,0,,,
1,,1384,0,32500,1977,1,2376,30,1,240,20
1,,0,0,9500,1977,1,4200,325,1,600,25
1,,0,0,13750,1977,0,0,0,,,
1,,0,0,9500,1977,1,0,15,1,,15
1,,193,0,,1977,0,0,0,,,
1,,400,0,6750,1977,0,0,0,,,
1,,1225,85,16250,1977,0,0,0,,,
1,,3600,3600,16250,1977,1,4200,1300,1,3000,750
1,,249,249,18750,1977,0,0,0,,,
1,,0,0,4500,1977,0,0,0,,,
1,,0,0,37500,1977,1,720,0,,,
