weight,psu2,hh_size,age_category,race,gender,ar_bor,mortgage_bor,installment_debt,better_off,auto,auto_bor,bank_auto_bor,durable,durable_bor,bank_durable_bor,item_name,refrigerator,washing_machine,radio,cook_stove,durable_price,payment_method,credit_use,income,year,loc_type,refrigerator_credit_use,radio_credit_use,freezer,television,television_credit_use,washing_machine_credit_use,dishwasher,clothes_dryer,credit_good,age_category2,cook_stove_credit_use,item_code1,item_code2,item_code3,item_code4,item_code5,item_code6,item_code_a1,item_code_a2,item_code_a3,code_string,code_a_string,psu,age,air_conditioner,sewing_machine,psu3,bw_television,color_television,bw_television_credit_use,bw_television_price,color_television_credit_use,color_television_price,refrigerator_price,washing_machine_price,cook_stove_price,clothes_dryer_credit_use,clothes_dryer_price,dishwasher_credit_use,dishwasher_price,air_conditioner_credit_use,air_conditioner_price,state
239,62,4,2,1,2,0,400,0,-1,100,0,0,300,0,0,Refrigerator,1,0,0,0,30,4,0,5100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OH
457,56,3,5,1,1,0,0,0,-1,0,0,0,260,39,0,Refrigerator,1,1,0,0,26,3,1,2000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NY
239,54,2,2,1,1,0,0,0,0,0,0,0,90,0,0,Other,0,0,0,1,9,4,0,4100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MO
457,72,5,2,1,1,0,0,100,-1,0,0,0,300,0,0,Furniture,0,0,0,1,30,4,0,1500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
239,72,2,2,1,1,0,0,300,1,0,0,0,90,40.5,0,Washing machine,0,1,0,0,9,2,1,3000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
398,79,2,2,1,1,0,0,0,1,0,0,0,140,0,0,Radio,0,0,1,0,14,4,0,1200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA
457,83,5,2,1,1,0,0,300,0,0,0,0,100,0,0,Radio,0,0,1,0,10,4,0,2700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WV
239,77,1,4,1,2,0,0,0,-1,600,0,600,230,0,230,Other,0,0,0,1,23,4,0,2600,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VT
239,72,3,2,1,1,0,0,0,1,0,0,0,390,0,0,Other,0,0,0,1,39,4,0,2300,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN
202,77,3,2,1,1,0,0,0,0,0,0,0,30,0,0,Other,0,0,0,1,3,4,0,2700,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VT
239,74,3,3,1,2,0,0,0,1,0,0,0,250,0,0,Radio,0,0,1,0,25,4,0,3500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX
457,74,3,4,1,2,0,0,0,-1,0,0,0,60,27,0,Other,0,0,0,1,6,2,1,800,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX
143,13,3,2,1,2,0,0,0,0,0,0,0,500,0,0,Furniture,0,0,0,1,50,4,0,5000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL
143,13,3,2,1,1,0,0,0,0,0,0,0,1000,0,0,Furniture,0,0,0,1,100,4,0,5200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL
239,18,5,3,1,1,0,0,100,0,0,0,0,170,136,0,Radio,0,0,1,0,17,1,1,3500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA
239,18,6,3,1,2,0,0,100,0,0,0,0,100,80,0,Refrigerator,1,0,0,0,10,1,1,3200,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA
124,18,3,4,1,2,0,0,0,0,0,0,0,230,0,0,Other,0,0,0,1,23,4,0,4100,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PA
457,37,3,2,1,1,0,0,100,-1,400,0,0,750,0,0,Refrigerator,1,0,0,0,75,4,0,3000,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
493,46,5,2,1,1,60,0,100,-1,0,0,0,130,104,0,Furniture,0,0,0,1,13,1,1,1500,1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA
