value,series_number,year
V3802,8746,1975
V3803,6857,1975
V3819,1506,1975
V3841,1264,1975
V3874,1211,1975
V3920,1890,1975
V3921,780,1975
V3931,1770,1975
V3939,5063,1975
V3944,6877,1975
V4154,5563,1975
V4173,1315,1975
V4204,844,1975
V4301,8783,1976
V4302,8746,1976
V4303,6857,1976
V4326,1506,1976
V4354,1264,1976
V4388,1211,1976
V4435,1890,1976
V4436,780,1976
V4446,1770,1976
V4450,5063,1976
V4455,6877,1976
V4717,1132,1976
V5029,5563,1976
V5049,1315,1976
V5096,844,1976
V5201,8783,1977
V5202,8746,1977
V5203,6857,1977
V5225,1506,1977
V5259,1132,1977
V5271,1264,1977
V5299,1211,1977
V5349,1890,1977
V5350,780,1977
V5360,1770,1977
V5364,5063,1977
V5369,6877,1977
V5477,8668,1977
V5626,5563,1977
V5630,1315,1977
V5662,844,1977
V5701,8783,1978
V5702,8746,1978
V5703,6857,1978
V5723,1506,1978
V5770,1264,1978
V5798,1211,1978
V5849,1890,1978
V5850,780,1978
V5860,1770,1978
V5864,5063,1978
V5869,6877,1978
V6002,8668,1978
V6003,8675,1978
V6173,5563,1978
V6177,1315,1978
V6209,844,1978
V6301,8783,1979
V6302,8746,1979
V6303,6857,1979
V6326,1506,1979
V6376,1264,1979
V6387,1132,1979
V6409,1211,1979
V6461,1890,1979
V6462,780,1979
V6473,1770,1979
V6479,5063,1979
V6487,6877,1979
V6575,8668,1979
V6576,8675,1979
V6766,5563,1979
V6770,1315,1979
V6802,844,1979
V6901,8783,1980
V6902,8746,1980
V6903,6857,1980
V6925,1506,1980
V6972,1264,1980
V6999,1211,1980
V7066,1890,1980
V7067,780,1980
V7078,1770,1980
V7084,5063,1980
V7092,6877,1980
V7177,8668,1980
V7178,8675,1980
V7287,4448,1980
V7412,5563,1980
V7416,1315,1980
V7447,844,1980
V7501,8783,1981
V7502,8746,1981
V7503,6857,1981
V7525,1506,1981
V7564,1264,1981
V7591,1211,1981
V7657,1890,1981
V7658,780,1981
V7669,1770,1981
V7675,5063,1981
V7703,6877,1981
V7863,8668,1981
V7864,8675,1981
V7977,2440,1981
V7985,2441,1981
V8065,5563,1981
V8068,1315,1981
V8099,844,1981
V8201,8783,1982
V8202,8746,1982
V8203,6857,1982
V8221,1506,1982
V8256,1264,1982
V8284,1211,1982
V8351,1890,1982
V8352,780,1982
V8358,1770,1982
V8364,5063,1982
V8371,6877,1982
V8523,8668,1982
V8524,8675,1982
V8689,5563,1982
V8692,1315,1982
V8723,844,1982
V8801,8783,1983
V8802,8746,1983
V8803,6857,1983
V8825,1506,1983
V8864,1264,1983
V8892,1211,1983
V8960,1890,1983
V8961,780,1983
V8967,1770,1983
V8974,5063,1983
V9002,6877,1983
V9173,8668,1983
V9174,8675,1983
V9293,2440,1983
V9298,2441,1983
V9375,5563,1983
V9378,1315,1983
V9408,844,1983
V10001,8783,1984
V10002,8746,1984
V10003,6857,1984
V10026,1506,1984
V10235,1264,1984
V10278,1211,1984
V10418,1890,1984
V10419,780,1984
V10430,1770,1984
V10437,5063,1984
V10450,6877,1984
V10656,8668,1984
V10657,8675,1984
V10882,2440,1984
V10889,2441,1984
V11022,5563,1984
V11025,1315,1984
V11055,844,1984
V11101,8783,1985
V11102,8746,1985
V11103,6857,1985
V11133,1506,1985
V11375,1264,1985
V11420,1211,1985
V11605,1890,1985
V11606,780,1985
V11618,5063,1985
V11631,6877,1985
V11635,1770,1985
V11638,8675,1985
V11938,844,1985
V11990,1132,1985
V11996,2440,1985
V12349,2441,1985
V12371,5563,1985
V12376,1315,1985
V12501,8783,1986
V12502,8746,1986
V12503,6857,1986
V12532,1506,1986
V12774,1264,1986
V12819,1211,1986
V13010,1890,1986
V13011,780,1986
V13023,5063,1986
V13040,6877,1986
V13044,1770,1986
V13047,8675,1986
V13436,2440,1986
V13441,2296,1986
V13442,2291,1986
V13443,2301,1986
V13444,2286,1986
V13445,2293,1986
V13446,2303,1986
V13447,2299,1986
V13471,2441,1986
V13476,2297,1986
V13477,2292,1986
V13478,2302,1986
V13479,2287,1986
V13480,2294,1986
V13481,2304,1986
V13482,2300,1986
V13565,844,1986
V13623,5563,1986
V13628,1315,1986
V13701,8783,1987
V13702,8746,1987
V13703,6857,1987
V13732,1506,1987
V13876,1264,1987
V13921,1211,1987
V14113,1890,1987
V14114,780,1987
V14126,5063,1987
V14143,6877,1987
V14147,8675,1987
V14519,2440,1987
V14530,2441,1987
V14612,844,1987
V14670,5563,1987
V14675,1315,1987
V14801,8783,1988
V14802,8746,1988
V14803,6857,1988
V14936,1211,1988
V15129,1890,1988
V15130,780,1988
V15140,5063,1988
V15151,6877,1988
V15155,8675,1988
V15761,1132,1988
V16086,844,1988
V16144,5563,1988
V16149,1315,1988
V16301,8783,1989
V16302,8746,1989
V16303,6857,1989
V16436,1211,1989
V16630,1890,1989
V16631,780,1989
V16641,5063,1989
V16652,6877,1989
V16656,8675,1989
V17296,1132,1989
V17483,844,1989
V17533,5563,1989
V17701,8783,1990
V17702,8746,1990
V17703,6857,1990
V17733,1506,1990
V17807,1264,1990
V17852,1211,1990
V18048,1890,1990
V18049,780,1990
V18072,5063,1990
V18090,6877,1990
V18094,8675,1990
V18700,1132,1990
V18814,844,1990
V18875,5563,1990
V18886,1315,1990
V19001,8783,1991
V19002,8746,1991
V19003,6857,1991
V19033,1506,1991
V19107,1264,1991
V19152,1211,1991
V19348,1890,1991
V19349,780,1991
V19372,5063,1991
V19390,6877,1991
V19394,8675,1991
V20000,1132,1991
V20114,844,1991
V20175,5563,1991
V20186,1315,1991
V20301,8783,1992
V20302,8746,1992
V20303,6857,1992
V20333,1506,1992
V20407,1264,1992
V20452,1211,1992
V20650,1890,1992
V20651,780,1992
V20672,5063,1992
V20690,6877,1992
V20694,8675,1992
V21300,1132,1992
V21420,844,1992
V21481,5563,1992
V21492,1315,1992
V21601,8776,1993
V21602,8746,1993
V21603,6857,1993
V21622,1506,1993
V21707,1264,1993
V21960,1211,1993
V22405,1890,1993
V22406,780,1993
V22427,5063,1993
V22445,6877,1993
V22449,8675,1993
V23159,1132,1993
V23276,844,1993
V23322,5563,1993
ER2001,8776,1994
ER2002,8746,1994
ER2006,1890,1994
ER2007,780,1994
ER2032,5063,1994
ER2072,8675,1994
ER3058,1132,1994
ER3713,1211,1994
ER3944,844,1994
ER4153,5563,1994
ER4156,6857,1994
ER5001,8776,1995
ER5002,8746,1995
ER5005,1890,1995
ER5006,780,1995
ER5031,5063,1995
ER5066A,6877,1995
ER5071,8675,1995
ER6057,1132,1995
ER6715,1211,1995
ER6814,844,1995
ER6993,5563,1995
ER6996,6857,1995
ER7001,8776,1996
ER7002,8746,1996
ER7005,1890,1996
ER7006,780,1996
ER7031,5063,1996
ER7161,6877,1996
ER7167,8675,1996
ER8154,1132,1996
ER8833,1211,1996
ER8841,2153,1996
ER8842,2154,1996
ER8843,2155,1996
ER8844,2156,1996
ER8845,2157,1996
ER8846,2158,1996
ER8915,2032,1996
ER8916,2031,1996
ER8917,2030,1996
ER8918,2029,1996
ER8919,2022,1996
ER8920,2023,1996
ER8921,2024,1996
ER8922,2025,1996
ER8923,2026,1996
ER8924,2027,1996
ER8925,2028,1996
ER8943,2004,1996
ER8944,2003,1996
ER8945,1996,1996
ER8946,1997,1996
ER8947,1998,1996
ER8948,1999,1996
ER8949,2000,1996
ER8950,2001,1996
ER8951,2002,1996
ER8961,1980,1996
ER8962,1979,1996
ER9060,844,1996
ER9244,5563,1996
ER9247,6857,1996
ER10001,,
ER10002,,
ER10008,,
ER10009,,
ER10035,,
ER10079,,
ER10084,,
ER11048,,
ER11715,,
ER11848,,
ER12079,,
ER12221,,
ER13001,,
ER13002,,
ER13004,,
ER13009,,
ER13010,,
ER13040,,
ER13084,,
ER13100,,
ER13208,,
ER14232,,
ER14983,,
ER15928,,
ER16462,,
ER17001,,
ER17002,,
ER17004,,
ER17012,,
ER17013,,
ER17043,,
ER17095,,
ER17111,,
ER17219,,
ER18362,,
ER19179,,
ER19989,,
ER20456,,
ER21001,,
ER21002,,
ER21003,,
ER21016,,
ER21017,,
ER21042,,
ER21121,,
ER21126,,
ER21628,,
ER21750,,
ER22544,,
ER23090,,
ER23217,,
ER23426,,
ER24099,,
ER25001,,
ER25002,,
ER25003,,
ER25016,,
ER25017,,
ER25028,,
ER25102,,
ER25107,,
ER25628,,
ER25709,,
ER26525,,
ER27057,,
ER27180,,
ER27393,,
ER28037,,
ER36001,,
ER36002,,
ER36003,,
ER36016,,
ER36017,,
ER36028,,
ER36107,,
ER36112,,
ER36633,,
ER36727,,
ER37543,,
ER38268,,
ER39365,,
ER40565,,
ER41027,,
ER42001,,
ER42002,,
ER42003,,
ER42016,,
ER42017,,
ER42029,,
ER42138,,
ER42143,,
ER42652,,
ER42733,,
ER43534,,
ER44241,,
ER45338,,
ER46543,,
ER46935,,
ER47301,,
ER47302,,
ER47303,,
ER47316,,
ER47317,,
ER47329,,
ER47446,,
ER47451,,
ER47970,,
ER48049,,
ER48859,,
ER48937,,
ER49579,,
ER50697,,
ER51904,,
ER52343,,
ER53001,,
ER53002,,
ER53003,,
ER53016,,
ER53017,,
ER53029,,
ER53146,,
ER53151,,
ER53682,,
ER53746,,
ER54602,,
ER54687,,
ER55327,,
ER56443,,
ER57659,,
ER58152,,
ER60001,,
ER60002,,
ER60003,,
ER60016,,
ER60017,,
ER60030,,
ER60161,,
ER60166,,
ER60697,,
ER60805,,
ER61713,,
ER61798,,
ER62449,,
ER63565,,
ER64810,,
ER65349,,
ER66001,,
ER66002,,
ER66003,,
ER66016,,
ER66017,,
ER66030,,
ER66162,,
ER66167,,
ER66744,,
ER66853,,
ER67766,,
ER67852,,
ER68512,,
ER69639,,
ER70882,,
ER71426,,
ER72001,,
ER72002,,
ER72003,,
ER72016,,
ER72017,,
ER72030,,
ER72162,,
ER72167,,
ER72748,,
ER72857,,
ER73789,,
ER73880,,
ER74520,,
ER75647,,
ER76897,,
ER77448,,
