gvkey,sic,home_state,treatment_discrete,treatment_z,ismatched,ni_77,ni_83,rev_77,rev_83,sic_2dig,profit_growth,rev_growth,markup_77,markup_83,markup_growth,profit_growth_w,rev_growth_w,markup_growth_w
4909,5990,CT,0.917883931560403,1.23968264009431,1,0.85225,1.586,16.03025,31.00675,59,-0.954227164267557,-0.0657350945867967,0.0531651097144461,0.051150152789312,-0.00201495692513413,-0.109101281859661,-0.011268571339871,-0.000335826154189021
4911,5812,OH,0,-1.9227434550661,1,0.48375,1.214,22.21425,31.3905,58,-0.96712695679575,-0.586920557750093,0.0217765623417401,0.0386741211513037,0.0168975588095636,-0.109101281859661,-0.109101281859661,0.00281625980159394
4945,5960,NY,0,-0.095440269303785,0,3.34425,7.3925,57.5843333333333,331.8645,59,-0.929698760658281,3.7631039692509,0.0580756918837878,0.0222756576855916,-0.0358000341981963,-0.109101281859661,0.069913193933663,-0.00596667236636605
4979,5411,CA,0,-0.095440269303785,0,2.441,1.25975,408.5305,354.66525,54,-1.00289146098027,-1.1318512326497,0.00597507407647654,0.0035519408794631,-0.00242313319701344,-0.109101281859661,-0.109101281859661,-0.000403855532835574
4990,5651,CA,0,-0.095440269303785,1,2.487,5.40175,51.39975,120.12875,56,-0.943292525741857,0.337146581452245,0.0483854493455708,0.04496633819964,-0.00341911114593078,-0.109101281859661,0.0496145355664197,-0.00056985185765513
4996,5311,DC,0,-0.095440269303785,0,2.75,,73.64175,,53,-1,-1,0.0373429474448937,0,-0.0373429474448937,-0.109101281859661,-0.109101281859661,-0.00622382457414895
5009,5331,NJ,1,0.918612592048929,1,0.1855,0.27275,25.32725,35.73075,53,-0.996555093821872,-0.589236889121401,0.00732412717527564,0.00763348096527501,0.000309353789999366,-0.109101281859661,-0.109101281859661,5.15589649998944e-05
5060,5200,NY,0,-0.095440269303785,0,-0.228,3.7245,166.74825,,52,-0.976296602812923,-1,-0.00136733069162645,0,0.00136733069162645,-0.109101281859661,-0.109101281859661,0.000227888448604408
5109,5661,TN,0,-0.095440269303785,1,-33.94575,-0.49275,253.69675,159.94025,56,-0.868137845675989,-1.36956129709979,-0.133804433836854,-0.00308083800044079,0.130723595836414,-0.109101281859661,-0.109101281859661,0.0217872659727356
5121,5912,NY,0,-0.095440269303785,1,0.35375,0.964,19.82275,48.443,59,-0.969214664968281,0.44380825062113,0.0178456571363711,0.0198996759077679,0.0020540187713968,-0.109101281859661,0.0631264416368722,0.000342336461899467
5151,5411,MD,0,-0.095440269303785,1,2.44375,10.12775,234.08975,489.3585,54,-0.967174983099431,0.0904738460355483,0.0104393720784443,0.0206959723801671,0.0102566003017228,-0.109101281859661,0.0145400805093647,0.00170943338362047
5172,5812,PA,1,0.918612592048929,0,1.073,,61.2345,,58,-1,-1,0.0175228016885906,0,-0.0175228016885906,-0.109101281859661,-0.109101281859661,-0.00292046694809843
5194,5311,PA,1,0.918612592048929,1,0.7465,1.0785,33.49,63.22,53,-0.99008659301284,-0.112272320095551,0.0222902358913108,0.0170594748497311,-0.00523076104157974,-0.109101281859661,-0.0196526927680681,-0.000871793506929956
5221,5311,WV,0.0512070194637894,-0.377327674088059,1,0.33425,,18.68625,,53,-1,-1,0.0178874841126497,0,-0.0178874841126497,-0.109101281859661,-0.109101281859661,-0.00298124735210828
