,index,url_title,url,title,numbers,year,yellow,inrange,include,pages
927,928,"https://www.loc.gov/resource/usteledirec.usteledirec00928:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00928,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1,313
928,929,"https://www.loc.gov/resource/usteledirec.usteledirec00929:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00929,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - July 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1,685
929,930,"https://www.loc.gov/resource/usteledirec.usteledirec00930:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - August 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00930,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - August 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1,641
930,931,"https://www.loc.gov/resource/usteledirec.usteledirec00931:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - February 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00931,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - February 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,338
931,932,"https://www.loc.gov/resource/usteledirec.usteledirec00932:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00932,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1,374
932,933,"https://www.loc.gov/resource/usteledirec.usteledirec00933:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Winter 1953/1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00933,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Winter 1953/1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1,361
933,934,"https://www.loc.gov/resource/usteledirec.usteledirec00934:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00934,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Summer 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1,352
934,935,"https://www.loc.gov/resource/usteledirec.usteledirec00935:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Spring 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00935,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - Spring 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1,767
935,936,"https://www.loc.gov/resource/usteledirec.usteledirec00936:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00936,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1,433
936,937,"https://www.loc.gov/resource/usteledirec.usteledirec00937:<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00937,"<title>Image 1 of Arizona - White Pages and Yellow Pages - Phoenix - January 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1,466
