,index,url_title,url,title,numbers,year,yellow,inrange,include
4384,4385,"https://www.loc.gov/resource/usteledirec.usteledirec04385:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04385,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1
4385,4386,"https://www.loc.gov/resource/usteledirec.usteledirec04386:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1956 thru 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04386,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1956 thru 1957  | Library of Congress</title>
","['1', '1956', '1957']",1956.0,1,1,1
4386,4387,"https://www.loc.gov/resource/usteledirec.usteledirec04387:<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04387,"<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1
4389,4390,"https://www.loc.gov/resource/usteledirec.usteledirec04390:<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04390,"<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1
4390,4391,"https://www.loc.gov/resource/usteledirec.usteledirec04391:<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1960  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04391,"<title>Image 1 of Connecticut - Yellow Pages - Greenwich - 1960  | Library of Congress</title>
","['1', '1960']",1960.0,1,1,1
4392,4393,"https://www.loc.gov/resource/usteledirec.usteledirec04393:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04393,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Greenwich - 1961  | Library of Congress</title>
","['1', '1961']",1961.0,1,1,1
4400,4401,"https://www.loc.gov/resource/usteledirec.usteledirec04401:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - December 1950 thru December 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04401,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - December 1950 thru December 1951  | Library of Congress</title>
","['1', '1950', '1951']",1950.0,1,1,1
4401,4402,"https://www.loc.gov/resource/usteledirec.usteledirec04402:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - February 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04402,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - February 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1
4402,4403,"https://www.loc.gov/resource/usteledirec.usteledirec04403:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - February 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04403,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - February 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1
4403,4404,"https://www.loc.gov/resource/usteledirec.usteledirec04404:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - January 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04404,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - January 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1
4404,4405,"https://www.loc.gov/resource/usteledirec.usteledirec04405:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04405,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1
4405,4406,"https://www.loc.gov/resource/usteledirec.usteledirec04406:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04406,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1
4430,4431,"https://www.loc.gov/resource/usteledirec.usteledirec04431:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04431,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1
4431,4432,"https://www.loc.gov/resource/usteledirec.usteledirec04432:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04432,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1
4432,4433,"https://www.loc.gov/resource/usteledirec.usteledirec04433:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04433,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - March 1959  | Library of Congress</title>
","['1', '1959']",1959.0,1,1,1
4433,4434,"https://www.loc.gov/resource/usteledirec.usteledirec04434:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1960/1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04434,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1960/1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1
4434,4435,"https://www.loc.gov/resource/usteledirec.usteledirec04435:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1961/1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04435,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1961/1962  | Library of Congress</title>
","['1', '1961', '1962']",1961.0,1,1,1
4435,4436,"https://www.loc.gov/resource/usteledirec.usteledirec04436:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1962/1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04436,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Hartford - 1962/1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1
4440,4441,"https://www.loc.gov/resource/usteledirec.usteledirec04441:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - April 1951 thru January 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04441,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - April 1951 thru January 1954  | Library of Congress</title>
","['1', '1951', '1954']",1951.0,1,1,1
4441,4442,"https://www.loc.gov/resource/usteledirec.usteledirec04442:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - April 1955 thru March 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04442,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - April 1955 thru March 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1
4442,4443,"https://www.loc.gov/resource/usteledirec.usteledirec04443:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - March 1957 thru March 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04443,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - March 1957 thru March 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1
4444,4445,"https://www.loc.gov/resource/usteledirec.usteledirec04445:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - 1965/66 thru 1968/69  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04445,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Manchester - 1965/66 thru 1968/69  | Library of Congress</title>
","['1', '1965', '66', '1968', '69']",1965.0,1,1,1
4452,4453,"https://www.loc.gov/resource/usteledirec.usteledirec04453:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - March 1955 thru April 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04453,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - March 1955 thru April 1958  | Library of Congress</title>
","['1', '1955', '1958']",1955.0,1,1,1
4453,4454,"https://www.loc.gov/resource/usteledirec.usteledirec04454:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - April 1959 thru 1962/63  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04454,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - April 1959 thru 1962/63  | Library of Congress</title>
","['1', '1959', '1962', '63']",1959.0,1,1,1
4454,4455,"https://www.loc.gov/resource/usteledirec.usteledirec04455:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - 1963/1964 thru 1966/1967  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04455,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - 1963/1964 thru 1966/1967  | Library of Congress</title>
","['1', '1963', '1964', '1966', '1967']",1963.0,1,1,1
4455,4456,"https://www.loc.gov/resource/usteledirec.usteledirec04456:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - 1967/1968 thru 1969/1970  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04456,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Meriden - 1967/1968 thru 1969/1970  | Library of Congress</title>
","['1', '1967', '1968', '1969', '1970']",1967.0,1,1,1
4460,4461,"https://www.loc.gov/resource/usteledirec.usteledirec04461:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Middletown - November 1953 thru September 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04461,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Middletown - November 1953 thru September 1956  | Library of Congress</title>
","['1', '1953', '1956']",1953.0,1,1,1
4461,4462,"https://www.loc.gov/resource/usteledirec.usteledirec04462:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Middletown - October 1957 thru 1960/1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04462,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Middletown - October 1957 thru 1960/1961  | Library of Congress</title>
","['1', '1957', '1960', '1961']",1957.0,1,1,1
4466,4467,"https://www.loc.gov/resource/usteledirec.usteledirec04467:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - April 1950 thru March 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04467,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - April 1950 thru March 1953  | Library of Congress</title>
","['1', '1950', '1953']",1950.0,1,1,1
4467,4468,"https://www.loc.gov/resource/usteledirec.usteledirec04468:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - April 1954 thru June 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04468,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - April 1954 thru June 1956  | Library of Congress</title>
","['1', '1954', '1956']",1954.0,1,1,1
4468,4469,"https://www.loc.gov/resource/usteledirec.usteledirec04469:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - May 1957 thru August 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04469,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - May 1957 thru August 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1
4470,4471,"https://www.loc.gov/resource/usteledirec.usteledirec04471:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - 1964/1965 thru 1968/1969  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04471,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Milford - 1964/1965 thru 1968/1969  | Library of Congress</title>
","['1', '1964', '1965', '1968', '1969']",1964.0,1,1,1
4478,4479,"https://www.loc.gov/resource/usteledirec.usteledirec04479:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - July 1952 thru August 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04479,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - July 1952 thru August 1954  | Library of Congress</title>
","['1', '1952', '1954']",1952.0,1,1,1
4479,4480,"https://www.loc.gov/resource/usteledirec.usteledirec04480:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - August 1955 thru August 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04480,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - August 1955 thru August 1957  | Library of Congress</title>
","['1', '1955', '1957']",1955.0,1,1,1
4480,4481,"https://www.loc.gov/resource/usteledirec.usteledirec04481:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - August 1958 thru 1960/1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04481,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - August 1958 thru 1960/1961  | Library of Congress</title>
","['1', '1958', '1960', '1961']",1958.0,1,1,1
4482,4483,"https://www.loc.gov/resource/usteledirec.usteledirec04483:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - 1964/1965 thru 1966/1967  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04483,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - 1964/1965 thru 1966/1967  | Library of Congress</title>
","['1', '1964', '1965', '1966', '1967']",1964.0,1,1,1
4483,4484,"https://www.loc.gov/resource/usteledirec.usteledirec04484:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - 1967/1968 thru 1969/1970  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04484,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Britain - 1967/1968 thru 1969/1970  | Library of Congress</title>
","['1', '1967', '1968', '1969', '1970']",1967.0,1,1,1
4494,4495,"https://www.loc.gov/resource/usteledirec.usteledirec04495:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Milford - 1961/1962 thru 1965/1966  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04495,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Milford - 1961/1962 thru 1965/1966  | Library of Congress</title>
","['1', '1961', '1962', '1965', '1966']",1961.0,1,1,1
4501,4502,"https://www.loc.gov/resource/usteledirec.usteledirec04502:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwich - 1965/1966 thru 1968/1969  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04502,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwich - 1965/1966 thru 1968/1969  | Library of Congress</title>
","['1', '1965', '1966', '1968', '1969']",1965.0,1,1,1
4503,4504,"https://www.loc.gov/resource/usteledirec.usteledirec04504:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - 1967/1968 thru 1969/1970  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04504,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - 1967/1968 thru 1969/1970  | Library of Congress</title>
","['1', '1967', '1968', '1969', '1970']",1967.0,1,1,1
4510,4511,"https://www.loc.gov/resource/usteledirec.usteledirec04511:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Milford - April 1955 thru 1960/1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04511,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Milford - April 1955 thru 1960/1961  | Library of Congress</title>
","['1', '1955', '1960', '1961']",1955.0,1,1,1
4512,4513,"https://www.loc.gov/resource/usteledirec.usteledirec04513:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwalk - September 1952 thru February 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04513,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwalk - September 1952 thru February 1955  | Library of Congress</title>
","['1', '1952', '1955']",1952.0,1,1,1
4514,4515,"https://www.loc.gov/resource/usteledirec.usteledirec04515:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - July 1951  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04515,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - July 1951  | Library of Congress</title>
","['1', '1951']",1951.0,1,1,1
4515,4516,"https://www.loc.gov/resource/usteledirec.usteledirec04516:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - July 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04516,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - July 1952  | Library of Congress</title>
","['1', '1952']",1952.0,1,1,1
4516,4517,"https://www.loc.gov/resource/usteledirec.usteledirec04517:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - June 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04517,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - June 1953  | Library of Congress</title>
","['1', '1953']",1953.0,1,1,1
4517,4518,"https://www.loc.gov/resource/usteledirec.usteledirec04518:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - June 1952 thru March 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04518,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - June 1952 thru March 1954  | Library of Congress</title>
","['1', '1952', '1954']",1952.0,1,1,1
4518,4519,"https://www.loc.gov/resource/usteledirec.usteledirec04519:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - May 1955 thru May 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04519,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - May 1955 thru May 1957  | Library of Congress</title>
","['1', '1955', '1957']",1955.0,1,1,1
4519,4520,"https://www.loc.gov/resource/usteledirec.usteledirec04520:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - May 1958 thru 1960/1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04520,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - May 1958 thru 1960/1961  | Library of Congress</title>
","['1', '1958', '1960', '1961']",1958.0,1,1,1
4521,4522,"https://www.loc.gov/resource/usteledirec.usteledirec04522:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - 1964/1965 thru 1966/1967  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04522,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New London - 1964/1965 thru 1966/1967  | Library of Congress</title>
","['1', '1964', '1965', '1966', '1967']",1964.0,1,1,1
4539,4540,"https://www.loc.gov/resource/usteledirec.usteledirec04540:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - June 1950  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04540,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - June 1950  | Library of Congress</title>
","['1', '1950']",1950.0,1,1,1
4540,4541,"https://www.loc.gov/resource/usteledirec.usteledirec04541:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1962/63  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04541,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1962/63  | Library of Congress</title>
","['1', '1962', '63']",1962.0,1,1,1
4546,4547,"https://www.loc.gov/resource/usteledirec.usteledirec04547:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - September 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04547,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - September 1954  | Library of Congress</title>
","['1', '1954']",1954.0,1,1,1
4547,4548,"https://www.loc.gov/resource/usteledirec.usteledirec04548:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - October 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04548,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - October 1955  | Library of Congress</title>
","['1', '1955']",1955.0,1,1,1
4548,4549,"https://www.loc.gov/resource/usteledirec.usteledirec04549:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - October 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04549,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - October 1956  | Library of Congress</title>
","['1', '1956']",1956.0,1,1,1
4549,4550,"https://www.loc.gov/resource/usteledirec.usteledirec04550:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - November 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04550,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - November 1957  | Library of Congress</title>
","['1', '1957']",1957.0,1,1,1
4550,4551,"https://www.loc.gov/resource/usteledirec.usteledirec04551:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - November 1958  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04551,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - November 1958  | Library of Congress</title>
","['1', '1958']",1958.0,1,1,1
4551,4552,"https://www.loc.gov/resource/usteledirec.usteledirec04552:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1959/60  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04552,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1959/60  | Library of Congress</title>
","['1', '1959', '60']",1959.0,1,1,1
4552,4553,"https://www.loc.gov/resource/usteledirec.usteledirec04553:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1960/61  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04553,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1960/61  | Library of Congress</title>
","['1', '1960', '61']",1960.0,1,1,1
4553,4554,"https://www.loc.gov/resource/usteledirec.usteledirec04554:<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1961/62  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04554,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - New Haven - 1961/62  | Library of Congress</title>
","['1', '1961', '62']",1961.0,1,1,1
4554,4555,"https://www.loc.gov/resource/usteledirec.usteledirec04555:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - 1962/63 thru 1968/69  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04555,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - 1962/63 thru 1968/69  | Library of Congress</title>
","['1', '1962', '63', '1968', '69']",1962.0,1,1,1
4559,4560,"https://www.loc.gov/resource/usteledirec.usteledirec04560:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1956 thru July 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04560,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1956 thru July 1957  | Library of Congress</title>
","['1', '1956', '1957']",1956.0,1,1,1
4560,4561,"https://www.loc.gov/resource/usteledirec.usteledirec04561:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1958 thru 1959/60  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04561,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1958 thru 1959/60  | Library of Congress</title>
","['1', '1958', '1959', '60']",1958.0,1,1,1
4561,4562,"https://www.loc.gov/resource/usteledirec.usteledirec04562:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - 1960/61 thru 1961/62  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04562,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - 1960/61 thru 1961/62  | Library of Congress</title>
","['1', '1960', '61', '1961', '62']",1960.0,1,1,1
4569,4570,"https://www.loc.gov/resource/usteledirec.usteledirec04570:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - March 1952 thru May 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04570,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - March 1952 thru May 1953  | Library of Congress</title>
","['1', '1952', '1953']",1952.0,1,1,1
4570,4571,"https://www.loc.gov/resource/usteledirec.usteledirec04571:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1954 thru July 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04571,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Waterbury - July 1954 thru July 1955  | Library of Congress</title>
","['1', '1954', '1955']",1954.0,1,1,1
4575,4576,"https://www.loc.gov/resource/usteledirec.usteledirec04576:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - January 1954 thru December 1955  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04576,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - January 1954 thru December 1955  | Library of Congress</title>
","['1', '1954', '1955']",1954.0,1,1,1
4576,4577,"https://www.loc.gov/resource/usteledirec.usteledirec04577:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - December 1956 thru 1961/62  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04577,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - December 1956 thru 1961/62  | Library of Congress</title>
","['1', '1956', '1961', '62']",1956.0,1,1,1
4582,4583,"https://www.loc.gov/resource/usteledirec.usteledirec04583:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - June 1950 thru January 1953  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04583,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Willimantic - June 1950 thru January 1953  | Library of Congress</title>
","['1', '1950', '1953']",1950.0,1,1,1
4587,4588,"https://www.loc.gov/resource/usteledirec.usteledirec04588:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Winsted - May 1951 thru September 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04588,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Winsted - May 1951 thru September 1956  | Library of Congress</title>
","['1', '1951', '1956']",1951.0,1,1,1
4588,4589,"https://www.loc.gov/resource/usteledirec.usteledirec04589:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Winsted - September 1957 thru 1960/61  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04589,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Winsted - September 1957 thru 1960/61  | Library of Congress</title>
","['1', '1957', '1960', '61']",1957.0,1,1,1
4600,4601,"https://www.loc.gov/resource/usteledirec.usteledirec04601:<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwalk - January 1956 thru March 1957  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec04601,"<title>Image 1 of Connecticut - White Pages and Yellow Pages - Norwalk - January 1956 thru March 1957  | Library of Congress</title>
","['1', '1956', '1957']",1956.0,1,1,1
