,index,url_title,url,title,numbers,year,yellow,inrange,include
547,548,"https://www.loc.gov/resource/usteledirec.usteledirec00548:<title>Image 1 of Alabama - Yellow Pages - Mobile - December 1953 thru April 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00548,"<title>Image 1 of Alabama - Yellow Pages - Mobile - December 1953 thru April 1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1
549,550,"https://www.loc.gov/resource/usteledirec.usteledirec00550:<title>Image 1 of Alabama - Yellow Pages - Mobile - November 1951 thru August 1952  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00550,"<title>Image 1 of Alabama - Yellow Pages - Mobile - November 1951 thru August 1952  | Library of Congress</title>
","['1', '1951', '1952']",1951.0,1,1,1
601,602,"https://www.loc.gov/resource/usteledirec.usteledirec00602:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - March 1953 thru November 1954  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00602,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - March 1953 thru November 1954  | Library of Congress</title>
","['1', '1953', '1954']",1953.0,1,1,1
602,603,"https://www.loc.gov/resource/usteledirec.usteledirec00603:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - June 1955 thru June 1956  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00603,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - June 1955 thru June 1956  | Library of Congress</title>
","['1', '1955', '1956']",1955.0,1,1,1
603,604,"https://www.loc.gov/resource/usteledirec.usteledirec00604:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1957 thru February 1959  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00604,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1957 thru February 1959  | Library of Congress</title>
","['1', '1957', '1959']",1957.0,1,1,1
604,605,"https://www.loc.gov/resource/usteledirec.usteledirec00605:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1960 thru February 1961  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00605,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1960 thru February 1961  | Library of Congress</title>
","['1', '1960', '1961']",1960.0,1,1,1
605,606,"https://www.loc.gov/resource/usteledirec.usteledirec00606:<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1962 thru March 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00606,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Montgomery - February 1962 thru March 1963  | Library of Congress</title>
","['1', '1962', '1963']",1962.0,1,1,1
619,620,"https://www.loc.gov/resource/usteledirec.usteledirec00620:<title>Image 1 of Alabama - White Pages and Yellow Pages - New Hope - August 1957 thru October 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00620,"<title>Image 1 of Alabama - White Pages and Yellow Pages - New Hope - August 1957 thru October 1963  | Library of Congress</title>
","['1', '1957', '1963']",1957.0,1,1,1
655,656,"https://www.loc.gov/resource/usteledirec.usteledirec00656:<title>Image 1 of Alabama - White Pages and Yellow Pages - Rockford - January 1963  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00656,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Rockford - January 1963  | Library of Congress</title>
","['1', '1963']",1963.0,1,1,1
656,657,"https://www.loc.gov/resource/usteledirec.usteledirec00657:<title>Image 1 of Alabama - White Pages and Yellow Pages - Russellville - May 1952 thru December 1962  | Library of Congress</title>
",https://www.loc.gov/resource/usteledirec.usteledirec00657,"<title>Image 1 of Alabama - White Pages and Yellow Pages - Russellville - May 1952 thru December 1962  | Library of Congress</title>
","['1', '1952', '1962']",1952.0,1,1,1
