NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Connecticut,CT,15,15,0,9,1,1978,15,0
Connecticut,CT,15,15,0,9,1,1981,15,0
Connecticut,CT,15,15,0,9,1,1979,15,0
Connecticut,CT,15,15,0,9,1,1984,18,0
Connecticut,CT,15,15,0,9,1,1989,15,0
Connecticut,CT,15,15,0,9,1,1988,15,0
Connecticut,CT,15,15,0,9,1,1975,15,0
Connecticut,CT,15,15,0,9,1,1982,18,0
Connecticut,CT,15,15,0,9,1,1980,15,0
Connecticut,CT,15,15,0,9,1,1990,15,0
Connecticut,CT,15,15,0,9,1,1986,18,0
Connecticut,CT,15,15,0,9,1,1985,18,0
Connecticut,CT,15,15,0,9,1,1977,15,0
District of Columbia,DC,24,18,6,11,0,1983,18,0
District of Columbia,DC,24,18,6,11,0,1989,24,0
District of Columbia,DC,24,18,6,11,0,1978,18,0
District of Columbia,DC,24,18,6,11,0,1982,18,0
District of Columbia,DC,24,18,6,11,0,1984,18,0
District of Columbia,DC,24,18,6,11,0,1977,18,0
District of Columbia,DC,24,18,6,11,0,1981,18,0
District of Columbia,DC,24,18,6,11,0,1980,18,0
District of Columbia,DC,24,18,6,11,0,1975,18,0
District of Columbia,DC,24,18,6,11,0,1990,24,0
District of Columbia,DC,24,18,6,11,0,1976,18,0
District of Columbia,DC,24,18,6,11,0,1988,24,0
District of Columbia,DC,24,18,6,11,0,1979,18,0
District of Columbia,DC,24,18,6,11,0,1985,24,0
District of Columbia,DC,24,18,6,11,0,1986,24,0
Delaware,DE,30,18,12,10,1,1978,18,0
Delaware,DE,30,18,12,10,1,1972,18,0
Delaware,DE,30,18,12,10,1,1973,18,0
Delaware,DE,30,18,12,10,1,1989,30,1
Delaware,DE,30,18,12,10,1,1982,30,1
Delaware,DE,30,18,12,10,1,1988,30,1
Delaware,DE,30,18,12,10,1,1981,18,0
Delaware,DE,30,18,12,10,1,1976,18,0
Delaware,DE,30,18,12,10,1,1980,18,0
Delaware,DE,30,18,12,10,1,1977,18,0
Delaware,DE,30,18,12,10,1,1985,30,1
Delaware,DE,30,18,12,10,1,1986,30,1
Delaware,DE,30,18,12,10,1,1984,30,1
Delaware,DE,30,18,12,10,1,1975,18,0
Delaware,DE,30,18,12,10,1,1987,30,1
Delaware,DE,30,18,12,10,1,1971,18,0
Delaware,DE,30,18,12,10,1,1974,18,0
Delaware,DE,30,18,12,10,1,1990,30,1
Delaware,DE,30,18,12,10,1,1979,18,0
Florida,FL,18,18,0,12,0,1982,18,0
Florida,FL,18,18,0,12,0,1976,18,0
Florida,FL,18,18,0,12,0,1973,18,0
Florida,FL,18,18,0,12,0,1986,18,0
Florida,FL,18,18,0,12,0,1983,18,0
Florida,FL,18,18,0,12,0,1988,18,0
Florida,FL,18,18,0,12,0,1984,18,0
Florida,FL,18,18,0,12,0,1972,18,0
Florida,FL,18,18,0,12,0,1974,18,0
Florida,FL,18,18,0,12,0,1978,18,0
Florida,FL,18,18,0,12,0,1987,18,0
Florida,FL,18,18,0,12,0,1985,18,0
Florida,FL,18,18,0,12,0,1990,18,0
Florida,FL,18,18,0,12,0,1977,18,0
Florida,FL,18,18,0,12,0,1980,18,0
Florida,FL,18,18,0,12,0,1979,18,0
Florida,FL,18,18,0,12,0,1981,18,0
Florida,FL,18,18,0,12,0,1971,18,0
Florida,FL,18,18,0,12,0,1989,18,0
Georgia,GA,18,18,0,13,0,1987,18,0
Georgia,GA,18,18,0,13,0,1972,18,0
Georgia,GA,18,18,0,13,0,1984,18,0
Georgia,GA,18,18,0,13,0,1974,18,0
Georgia,GA,18,18,0,13,0,1986,18,0
Georgia,GA,18,18,0,13,0,1979,18,0
Georgia,GA,18,18,0,13,0,1977,18,0
Georgia,GA,18,18,0,13,0,1988,18,0
Georgia,GA,18,18,0,13,0,1980,18,0
Georgia,GA,18,18,0,13,0,1971,18,0
Georgia,GA,18,18,0,13,0,1982,18,0
Georgia,GA,18,18,0,13,0,1990,18,0
Georgia,GA,18,18,0,13,0,1985,18,0
Georgia,GA,18,18,0,13,0,1973,18,0
Georgia,GA,18,18,0,13,0,1983,18,0
Georgia,GA,18,18,0,13,0,1989,18,0
Georgia,GA,18,18,0,13,0,1975,18,0
Georgia,GA,18,18,0,13,0,1978,18,0
Georgia,GA,18,18,0,13,0,1976,18,0
Hawaii,HI,18,12,6,15,0,1971,12,0
Hawaii,HI,18,12,6,15,0,1973,12,0
Hawaii,HI,18,12,6,15,0,1988,18,0
Hawaii,HI,18,12,6,15,0,1990,18,0
Hawaii,HI,18,12,6,15,0,1989,18,0
Hawaii,HI,18,12,6,15,0,1972,12,0
Hawaii,HI,18,12,6,15,0,1974,12,0
Hawaii,HI,18,12,6,15,0,1975,12,0
Hawaii,HI,18,12,6,15,0,1987,18,0
Hawaii,HI,18,12,6,15,0,1977,12,0
Iowa,IA,19.8,18,1.8,19,0,1976,18,0
Iowa,IA,19.8,18,1.8,19,0,1988,19.8,0
Iowa,IA,19.8,18,1.8,19,0,1975,18,0
Iowa,IA,19.8,18,1.8,19,0,1983,18,0
Iowa,IA,19.8,18,1.8,19,0,1985,19.8,0
Iowa,IA,19.8,18,1.8,19,0,1979,18,0
Iowa,IA,19.8,18,1.8,19,0,1977,18,0
Iowa,IA,19.8,18,1.8,19,0,1980,18,0
Iowa,IA,19.8,18,1.8,19,0,1990,19.8,0
Iowa,IA,19.8,18,1.8,19,0,1989,19.8,0
Iowa,IA,19.8,18,1.8,19,0,1984,18,0
Iowa,IA,19.8,18,1.8,19,0,1987,19.8,0
Iowa,IA,19.8,18,1.8,19,0,1981,18,0
Iowa,IA,19.8,18,1.8,19,0,1982,18,0
Iowa,IA,19.8,18,1.8,19,0,1978,18,0
Idaho,ID,30,18,12,16,1,1974,18,0
Idaho,ID,30,18,12,16,1,1972,18,0
Idaho,ID,30,18,12,16,1,1980,18,0
Idaho,ID,30,18,12,16,1,1976,18,0
