year,state,RSSDID,losses,ci.loans,ci.losses,cards,card.losses,loans,card.loss.rate,banks,card.issuers,state_name,fipstate,r_90,r_77,r_change,ever_nolimit,r_usury,nolimit,e1_4,e5_9,e10_19,e20_49,e50_99,e100_249,e250_499,e500_999,e1000,emp,emp.small,emp.mid,emp.lg,emp.small.frac,emp.mid.frac,emp.lg.frac,tax,corp.lic.tax,lic.tax,corp.inc.tax,interest,sa,loc.tax,loc.corp.lic.tax,loc.lic.tax,loc.corp.inc.tax,loc.interest,loc.sa
1977,NH,32244266,4795.5,374081.75,0,26817.25,0,2288687.75,0,105,48,New Hampshire,33,30,29,1,0,29,1,80780,89957,109443,158930,97188,121335,90322,56098,15837,819890,280180,377453,162257,0.341728768493334,0.460370293575967,0.197900937930698,200231,2201,31503,32563,3015,0,526867,2201,31503,32563,8653,260
1977,NJ,118626753,37938.25,3897546.83333333,0,319358.166666667,0,17142117.8333333,0,216,133,New Jersey,34,30,15,15,1,15,0,681307,731391,905970,1410545,1157769,1436153,776003,565338,855947,8520423,2318668,4004467,2197288,0.272130620745003,0.46998453011077,0.257884849144227,3103725,74666,304471,332775,129562,0,6884238,74666,304471,332775,215161,5509
1977,NM,50654421,9501.5,710334.25,0,31187,0,2272672.75,0,84,15,New Mexico,35,30,18,12,1,18,0,103748,141121,172423,212243,130532,80524,40078,40057,14311,935037,417292,423299,94446,0.446283943843933,0.452708288549009,0.101007767607057,597604,2500,42038,29486,67768,0,742711,2500,42038,29486,83616,3526
1977,NV,3187324,2961,401899,0,41664.75,0,1463396.5,0,8,7,Nevada,32,30,21.6,8.3999996,1,21.6,0,64721,78690,97901,128770,72721,89816,74782,53994,124328,785723,241312,291307,253104,0.307120957385745,0.370750251679027,0.322128790935228,329069,1123,48345,0,7006,0,565728,1123,48345,0,21936,7081
1977,NY,221931748,605638.5,49416274.6666667,0,2473563.5,0,128281739.083333,0,434,118,New York,36,25,18,7,0,18,0,1756675,1820014,2338889,3334342,2487598,2908887,1874537,1543658,3682000,21746600,5915578,8730827,7100195,0.272023120855674,0.401480093439894,0.326496785704432,10743249,5025,449658,1295001,504546,11422,22489616,5025,489988,1295001,902798,45710
1977,OH,245720001,57957.75,5689618.25,0,741338.333333334,0,21976570.5,0,491,240,Ohio,39,25,24,1,1,24,0,842403,1105307,1405776,1959785,1543478,1827034,1266286,1053733,2558501,13562303,3353486,5330297,4878520,0.247265232165953,0.39302299911748,0.359711768716567,3570771,130108,370748,315481,95966,0,6778453,130108,403738,315481,240433,42136
1977,OK,211648629,31878.5,2299787,0,118511.833333333,0,7368619.66666667,0,483,53,Oklahoma,40,21,18,3,0,18,0,280376,297685,377003,551670,334595,324984,175111,128629,179153,2649206,955064,1211249,482893,0.360509526250507,0.45721208543239,0.182278388317103,1139000,11850,134976,70635,38091,0,1687397,11850,134976,70635,62728,1746
1977,OR,31261151,8336,1785939.75,0,156983.75,0,5258693.33333333,0,56,19,Oregon,41,30,15,15,1,15,0,241319,301518,386394,531604,338394,339464,226560,103819,90870,2559942,929231,1209462,421249,0.36298908334642,0.472456797849326,0.164554118804254,973145,2031,128369,91104,155803,0,1900107,2031,129383,91104,205880,20777
1977,PA,189104614,137752.25,11338453.0833333,0,827750.25,0,37726598,0,399,109,Pennsylvania,42,18,15,3,0,15,0,958959,1159533,1437411,2065527,1693232,2200967,1522048,1231545,2265825,14535047,3555903,5959726,5019418,0.244643378174147,0.410024542748297,0.345332079077557,5590840,213268,664741,665993,86980,0,9070936,213268,664761,665993,251142,12313
1977,RI,15644912,8774.75,832134.5,0,71663.25,0,3529595.5,0,23,13,Rhode Island,44,,,,1,18,0,88937,94983,121598,183847,149871,136136,94548,70755,75924,1016599,305518,469854,241227,0.300529510652676,0.462182237047253,0.237288252300071,438841,1131,22826,40842,18098,104,736347,1131,22826,40842,21979,1487
