gvkey,sls_state,sls_pct
9089,nj,0.00095608388
9089,ny,0.99904394
9155,de,0.00068525266
9155,nc,0.0028852744
9155,nj,0.002207235
9155,ny,0.0068813795
9155,oh,0.00036065929
9155,pa,0.97695392
9155,va,0.0010819779
9155,wv,0.0089443503
9359,ca,1
9361,ca,1
9388,ca,1
9430,ca,1
9522,fl,1
9618,ct,0.16151337
9618,ky,0.00083785068
9618,mo,0.0040378342
9618,ny,0.82775605
9618,sc,0.0020189171
9618,tn,0.0028264842
9618,tx,0.0010094586
9680,ny,1
9712,md,0.01340397
9712,mo,0.0014042254
9712,ny,0.0022339949
9712,oh,0.97657496
9712,tx,0.006382843
9722,az,0.02270663
9722,ca,0.045413259
9722,co,0.18165304
9722,pa,0.75022709
9731,ny,1
9918,sc,1
9943,ma,0.6007036
9943,nh,0.026385223
9943,ny,0.37291116
9985,ny,0.99858689
9985,oh,0.0014130946
10131,ca,0.17857552
10131,co,0.00091753638
10131,nj,0.7454983
10131,nm,0.075008601
10173,fl,1
10333,ar,0.023080856
10333,tx,0.97691911
10554,ct,0.95762712
10554,ny,0.042372882
10558,mn,1
10639,in,0.010638298
10639,mi,0.014184397
10639,nj,0.97163123
10639,wv,0.0035460992
11002,ny,1
11085,me,0.99791843
11085,pa,0.0020815986
11215,nc,0.0031201248
11215,ny,0.99687988
11263,ne,1
11264,il,1
11343,ny,0.13182674
11343,pa,0.86817324
11491,il,1
11534,mi,1
11535,fl,0.76157802
11535,ky,0.012864494
11535,la,0.072041161
11535,nc,0.051457975
11535,sc,0.025728988
11535,tx,0.076329328
11579,dc,1
12474,ca,0.15414259
12474,fl,0.8246628
12474,tn,0.0077071292
12474,wa,0.013487476
65499,va,1
