gvkey,state,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,cusip,companyname,curcdq,datacqtr,datafqtr,atq,ltq,ncoq,recdq,rectq,rectrq,revtq,wcapq,xintq,cik,costat,county,sic,rec_to_assets,rec_to_rev,ultdunsno,dunsno,companyname_db,ultsls,state_db,sic_db,stateslspctak,stateslspctal,stateslspctar,stateslspctaz,stateslspctca,stateslspctco,stateslspctct,stateslspctdc,stateslspctde,stateslspctfl,stateslspctga,stateslspcthi,stateslspctia,stateslspctid,stateslspctil,stateslspctin,stateslspctks,stateslspctky,stateslspctla,stateslspctma,stateslspctmd,stateslspctme,stateslspctmi,stateslspctmn,stateslspctmo,stateslspctms,stateslspctmt,stateslspctnc,stateslspctnd,stateslspctne,stateslspctnh,stateslspctnj,stateslspctnm,stateslspctnv,stateslspctny,stateslspctoh,stateslspctok,stateslspctor,stateslspctpa,stateslspctri,stateslspctsc,stateslspctsd,stateslspcttn,stateslspcttx,stateslspctut,stateslspctva,stateslspctvt,stateslspctwa,stateslspctwi,stateslspctwv,stateslspctwy,_merge
1935,CA,19770930,1978,1,INDL,C,D,STD,BDII,055368104,BDI INVESTMENTS CORP,USD,1977Q3,1978Q1,27.819,11.493,,,8.6379995,,11.956,13.808,.028999999,14343,I,,5190,.31050721,.72248244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
2064,NY,19780131,1978,1,INDL,C,D,STD,BTH.,069203107,BARTH SPENCER CORP,USD,1977Q4,1978Q1,6.901,1.522,,,1.238,,5.8410001,4.105,0,,I,Nassau,5961,.17939429,.21195,006995237,6995237,BARTH-SPENCER CORPORATION,21300000,NY,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Matched (3)
2090,AZ,19780331,1978,1,INDL,C,D,STD,BAYM,072797103,BAYLESS (A.J.) MARKETS INC,USD,1978Q1,1978Q1,49.529999,27.02,,,1.133,,58.439999,10.021,.322,,I,,5411,.022875026,.019387405,008966392,35958644,BAYLESS A J MARKETS INC,219000000,AZ,5411,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matched (3)
2101,OH,19770930,1978,1,INDL,C,D,STD,AIT,03820C105,APPLIED INDUSTRIAL TECH INC,USD,1977Q3,1978Q1,105.221,31.167,,,26.559,,57.237999,61.863998,.119,109563,A,,5080,.2524116,.46400991,007900129,60916277,BEARINGS INC,218000000,OH,5085,,0,0,,,,,,0,0,0,,,0,0,0,,0,0,,0,,,,0,0,0,0,,,,0,,,0,1,,0,0,,0,,0,,,0,,0,,0,,Matched (3)
2151,NJ,19780430,1978,1,INDL,C,D,STD,BRI.1,080797103,BELSCOT RETAILERS INC,USD,1978Q1,1978Q1,19.511999,10.691,,,2.4030001,,10.776,6.2360001,.141,11170,I,Hudson,5651,.12315498,.22299555,011914413,70161724,BELSCOT RETAILERS INC,90100000,IL,5311,,,,,,,0,,,,,,,,.60044396,0,,,,,,,0,,,,,,,,,.38845727,,,.011098779,,0,0,,,,,,0,,,,,0,0,,Matched (3)
2169,CA,19771130,1978,1,INDL,C,D,STD,BBC.1,083739102,BERGEN BRUNSWIG CORP  -CL A,USD,1977Q4,1978Q1,105.938,67.265999,,,40.403999,,108.348,43.332001,.53500003,11454,I,,5122,.3813929,.37290952,048341226,78770245,BERGEN BRUNSWIG DATA SV CO*,904200000,CA,7374,,,0,0,.99402785,0,0,,,0,,,,0,,0,,,,,.0019907099,,0,,,,,0,,,,.0039814198,,0,0,,,0,0,,,,,0,0,,,0,,,,Matched (3)
2173,CT,19780331,1978,1,INDL,C,D,STD,BKY,084419100,BERKEY INC,USD,1978Q1,1978Q1,103.266,85.960999,,,24.895,,41.651001,14.884,1.238,11534,I,Fairfield,5040,.24107644,.59770471,001318534,60803954,PRENTICE HALL DEV LRNG CNTR*,234720000,NJ,3579,,,,,0,,0,,0,0,0,,,,0,,,,,0,.0073278802,,,,,,,,,,,.99267215,,,0,,,,,,,,,,0,0,,,,,,Matched (3)
2198,MA,19780331,1978,1,INDL,C,D,STD,BIK.,088740105,BICKFORD CORP,USD,1978Q1,1978Q1,15.986,7.4780002,,,2.5050001,,5.0209999,5.3899999,.13,57933,I,,5812,.15669961,.49890459,001031533,1031533,BICKFORD CORPORATION,29800000,MA,5812,,,,,,,,,,,,,,,,,,,,.63087249,0,,0,,,,,0,,,,,,,,,,,0,.36912751,,,,,,,,,,,,Matched (3)
2208,NY,19780331,1978,1,INDL,C,D,STD,BIV.,08999X103,BIG V SUPERMARKETS-OLD,USD,1978Q1,1978Q1,35.662998,21.438,,,.602,,64.157997,5.3449998,.215,,I,Orange,5411,.01688024,.0093830852,71563365,71563365,BIG V SUPERMARKETS INC,750000,NC,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,Matched (3)
2290,IL,19780331,1978,1,INDL,C,D,STD,OMX,67622P101,OFFICEMAX INC,USD,1978Q1,1978Q1,1831.776,851.01001,,,253.248,,586.31,295.26099,9.6499996,12978,I,,5110,.13825271,.43193531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master only (1)
