GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "23000","Maine",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",335304,321826,316334,290833,278110,269585,266413,271746,276003,290607,306465,298471,320380,349855,386869,412962,445032,476138,495033,494628,512390,544930,568067,581813,608400,640818,678569,710513,737798,778150,798572
 "23000","Maine",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870341,928085,985450,1002684,1018741,1068229,1124817,1136763
 "24000","Maryland",2,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",16462974,17202308,18385788,18956768,19594343,20026983,20725772,21842124,23273264,25676785,27988508,29506069,30758594,32566555,34791086,36788871,37464213,39035403,39884448,39820170,41355370,42855640,43085107,42509833,43351635,44447895,45895058,47791727,50322811,52088668,53036570
 "24000","Maryland",2,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4348167,4542537,4967132,5318061,5558856,6024226,6350023,7534549,7604962,8929943,8998442,9638558,10525923,11468409,12245283,13181477,14515123,15420792,16807884,16587923,17723995,19577288,20144112,19606854,21263518,22030983,23406237,24721529,25696378,25557875,26304732
 "24000","Maryland",2,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902979,22088117,22416912,22488821,23070198,24626433,26530793,26731838
 "25000","Massachusetts",1,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2774609,2766724,2946619,3068892,3217624,3434433,3643550,3960966,4447166,4743382,5214991,5479058,5612438,5883703,6301999,6660767,7109902,7540752,7775216,7548479,7953336,8525868,8937274,9212666,9687848,10105134,10292509,10693984,11021744,11317516,11530153
 "25000","Massachusetts",1,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",4848453,5004045,5292148,5630306,5981966,6260881,6737432,7362966,8048995,8928735,10264895,10675881,10700672,10974677,11890403,12087152,12807046,13651384,13852898,13020856,13949825,15174814,16317404,16554158,16627984,17856162,18598940,19541800,20700654,22214449,22220648
 "25000","Massachusetts",1,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-2073844,-2237321,-2345529,-2561414,-2764342,-2826448,-3093882,-3402000,-3601829,-4185353,-5049904,-5196823,-5088234,-5090974,-5588404,-5426385,-5697144,-6110632,-6077682,-5472377,-5996489,-6648946,-7380130,-7341492,-6940136,-7751028,-8306431,-8847816,-9678910,-10896933,-10690495
 "26000","Michigan",3,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1321747,1376057,1525812,1654033,1856333,1967184,2075458,2261921,2448939,2647068,2836541,2847110,2910588,3001951,3147978,3248644,3378732,3458208,3402587,3144245,3302554,3612049,3925561,4115020,4361949,4549791,4763866,4922397,5249944,5288825,5113656
 "26000","Michigan",3,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",863726,888447,973653,1026420,1102761,1170369,1252955,1352700,1456089,1566584,1738481,1658470,1693715,1729722,1779430,1803948,1748069,1781411,1720513,1627300,1723253,1884626,2014204,2196360,2287039,2419496,2499281,2602936,2719747,2769561,2643105
 "26000","Michigan",3,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640,1216873,1272229,1368548,1444696,1630663,1676797,1682074,1516945,1579301,1727423,1911357,1918660,2074910,2130295,2264585,2319461,2530197,2519264,2470551
 "27000","Minnesota",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",728059,804597,911091,991009,1074777,1145029,1237733,1333680,1481878,1590063,1751769,1838634,1891526,1972458,2085910,2186809,2331687,2494992,2602234,2601933,2738626,3000226,3293753,3464220,3674179,3790527,3789428,3891595,4085526,4240994,4252426
 "27000","Minnesota",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",1199175,1280058,1420374,1506359,1636055,1755085,1922729,2100666,2329093,2541262,2788528,2922528,3003445,3152424,3344137,3507314,3607523,3888047,4023935,3749992,3844622,4143193,4221677,4354093,4594730,4814352,4986735,5226716,5408030,5593070,5538261
 "27000","Minnesota",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-471116,-475461,-509283,-515350,-561278,-610056,-684996,-766986,-847215,-951199,-1036759,-1083894,-1111919,-1179966,-1258227,-1320505,-1275836,-1393055,-1421701,-1148059,-1105996,-1142967,-927924,-889873,-920551,-1023825,-1197307,-1335121,-1322504,-1352076,-1285835
 "28000","Mississippi",5,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",1373998,1466103,1579815,1667514,1811311,1946286,2073648,2253571,2473709,2633219,2800261,2962335,3086552,3243580,3461957,3662715,3970774,4265119,4510985,4380739,4467506,4689821,4984551,5053696,5207954,5352742,5430793,5583821,5884340,6004549,6072579
 "28000","Mississippi",5,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",624987,662058,756950,828054,973793,1026241,1112088,1141554,1285995,1346693,1322444,1421644,1503153,1576719,1684334,1767267,1858096,1996768,2101756,2014858,2040009,2040965,2134461,2063970,2159367,2175364,2213209,2271640,2376463,2450591,2536340
 "28000","Mississippi",5,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989726,3048587,3177378,3217584,3312181,3507877,3553958,3536239
 "29000","Missouri",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",2721990,2906198,3193472,3421040,3711849,3914130,4148907,4469454,4803705,5222918,5659135,5856527,6001960,6188160,6517453,6795365,7196102,7642392,7887303,7497219,7875210,8549360,8922422,9040114,9372121,9851127,9896619,10273885,10648162,11042381,11434958
 "29000","Missouri",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",5321972,5498070,5909291,6254874,6572004,7024286,7358535,7857706,8354415,8902892,9622901,9875964,10133007,10369931,10799210,11367745,12169571,12479968,13312963,12616405,12802572,12886539,13800488,13763228,14160538,14797467,15008038,15755705,16509918,17254298,17021050
 "29000","Missouri",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4131047,-4181771,-4281757,-4572380,-4973469,-4837576,-5425660,-5119186,-4927362,-4337179,-4878066,-4723114,-4788417,-4946340,-5111419,-5481820,-5861756,-6211917,-5586092
 "30000","Montana",7,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",35455,37544,39877,42420,46785,50101,54507,59391,64653,69336,76160,79732,80608,82749,87678,92097,100993,111830,127595,131331,171557,286727,474212,559845,664563,544425,373162,418978,497221,531110,401275
 "30000","Montana",7,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",39815,48968,41916,41670,41548,41607,43100,46282,46836,48011,50168,51872,54309,58752,64333,72280,86370,94895,100438,94254,97266,107009,115856,112811,117065,116400,103774,106849,116173,115840,105994
 "30000","Montana",7,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26299,23997,23345,19817,14623,16935,27157,37077,74291,179718,358356,447034,547498,428025,269388,312129,381048,415270,295281
 "31000","Nebraska",4,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",277790,294036,319923,340143,388729,427811,477271,493611,546546,568867,613585,641735,661487,683988,730934,781810,868880,885108,910695,894647,931475,985932,1107664,1196625,1344468,1372909,1372848,1394824,1516632,1566483,1612677
 "31000","Nebraska",4,SAINC91,20,"...","Outflows of earnings","Thousands of dollars",668857,720939,790840,826674,890719,975417,1076358,1170380,1260882,1368547,1481146,1516481,1563871,1621840,1674951,1722787,1725140,1832438,1890173,1851516,1829669,1949140,2106174,2165520,2280948,2392823,2440019,2564062,2638645,2737149,2796521
 "31000","Nebraska",4,SAINC91,30,"...","Adjustment for residence","Thousands of dollars",-391067,-426903,-470917,-486531,-501990,-547606,-599087,-676769,-714336,-799680,-867561,-874746,-902384,-937852,-944017,-940977,-856260,-947330,-979478,-956869,-898194,-963208,-998510,-968895,-936480,-1019914,-1067171,-1169238,-1122013,-1170666,-1183844
 "32000","Nevada",8,SAINC91,10,"...","Inflows of earnings","Thousands of dollars",186211,224954,300672,310142,349961,404673,452311,544945,594854,644638,758236,810331,841985,897534,979130,1057381,1153497,1239492,1261400,1175704,1201567,1276068,1346243,1426811,1489483,1625141,1707854,1783100,1943436,1977119,2284216
