GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
 "45000","South Carolina",5,SAEMP27S,477,"30","     Rubber and miscellaneous plastics products","Number of jobs",3370,3635,3494,3671,4298,5264,7851,10258,12335,14024,16700,17761,19103,19015,18820,19697,20249,20829,21409,21928,23136,23598,22745,23204,24000,24375,24855,23973,23450,23590,24670,26001,(NA)
 "45000","South Carolina",5,SAEMP27S,480,"31","     Leather and leather products","Number of jobs",165,165,153,88,201,202,143,194,320,173,132,119,311,314,222,262,256,302,274,192,(D),(D),(D),(D),(D),83,74,68,(D),(D),(D),(D),(NA)
 "45000","South Carolina",5,SAEMP27S,500,"E","   Transportation and public utilities","Number of jobs",36405,38186,38667,40526,42837,43889,41373,43177,45051,49403,53657,53638,54744,54831,55389,56213,56787,57172,59786,63921,64864,67509,66642,65730,67096,70148,72670,74643,76762,77836,91788,95829,95972
 "45000","South Carolina",5,SAEMP27S,510,"40","    Railroad transportation","Number of jobs",4423,4398,4122,4256,4530,4699,4551,4195,4000,3986,4099,4070,3939,3690,3590,3585,3374,3137,2947,2876,2846,2710,2403,2243,2119,2038,1975,1837,1782,1860,1872,(D),(NA)
 "45000","South Carolina",5,SAEMP27S,520,"42","    Trucking and warehousing","Number of jobs",10153,10369,10450,11712,13009,13824,12289,13138,13683,14672,15559,14922,13859,13579,14371,15604,16279,16960,17951,19725,19800,20113,20016,21155,22457,24381,25820,26311,26437,26798,27576,29133,(NA)
 "45000","South Carolina",5,SAEMP27S,530,"44","    Water transportation","Number of jobs",1647,1936,1975,2044,2139,2381,2320,2831,2405,2792,2833,2809,3103,3143,2843,2805,2775,2957,3457,3898,3284,3453,3605,3363,3370,3264,3234,3265,3300,3101,3546,3441,(NA)
 "45000","South Carolina",5,SAEMP27S,540,"41, 45-47","    Other transportation","Number of jobs",2570,2501,2442,2409,2620,2702,2811,2690,2572,2891,3155,3323,4555,4540,4514,4857,5453,5941,7320,8845,10080,10960,10490,9555,9816,11185,12673,14063,15652,16793,18839,(D),(NA)
 "45000","South Carolina",5,SAEMP27S,541,"41","     Local and interurban passenger transit","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1076,(D),(D),(D),(D),(D),(D),(D),(D),(D),3072,(NA)
 "45000","South Carolina",5,SAEMP27S,542,"45","     Transportation by air","Number of jobs",801,736,708,706,752,790,819,898,932,1057,1095,1157,1150,997,1029,1228,1566,1826,2344,3331,3978,4516,4173,5431,5325,5808,6809,7403,7870,8311,9191,9711,(NA)
 "45000","South Carolina",5,SAEMP27S,543,"46","     Pipelines, except natural gas","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),48,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(NA)
