GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "10000","Delaware",2,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",434.1,480.3,552.3,593.0,631.0,679.6,712.5,809.8,955.8,956.9,997.8,1033.3,1083.8,1125.5,1181.1,1278.7,1386.1,1523.1,1610.7,1726.7,1870.6,2026.4,2173.2,2401.0,2630.4,2906.7,3156.1,3443.1,3709.4,3997.9,4387.8,4780.3,5370.8,5881.3,6417.1,6920.5,7686.9,8340.0,8856.7,9621.7,10594.4,11762.6,12389.0,13233.6,13832.4,14346.2,14872.1,15751.4,16713.0,17287.5,19188.2,20717.8,23034.1,25555.7,27015.2,27926.6,28945.0,29278.9,31028.9,31946.6,31748.0,32985.6,33279.1,35620.2,36115.0,36521.4,38297.6,40056.6,41212.5,42978.1,45509.2,46326.7,49146.7,52091.3
 "10000","Delaware",2,SAINC51,52,"...","Population (persons) 1/","Number of persons",312000,316000,321000,331000,341000,351000,368000,389000,408000,426000,433000,441000,449000,461000,469000,483000,497000,507000,516000,525000,534000,540000,550332,565207,573821,579078,583150,588756,592755,594821,598188,598830,594919,595974,599148,605459,611565,618279,627559,636946,647621,658274,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,786373,795699,806169,818003,830803,845150,859268,871749,883874,891730,899762,908169,916572,925599,935160,944596,953030,961499,971072,981297,991886,1003384
 "10000","Delaware",2,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1391,1520,1721,1791,1850,1936,1936,2082,2343,2246,2304,2343,2414,2441,2518,2647,2789,3004,3122,3289,3503,3753,3949,4248,4584,5020,5412,5848,6258,6721,7335,7983,9028,9868,10710,11430,12569,13489,14113,15106,16359,17869,18503,19373,19905,20310,20726,21585,22555,23004,25137,26733,29292,32117,33511,34140,34840,34643,36111,36647,35919,36991,36987,39222,39402,39457,40953,42406,43244,44699,46865,47210,49549,51916
 "11000","District of Columbia",2,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",1627.2,1682.9,1787.4,1838.3,1890.4,1869.0,1855.2,1831.9,1926.5,1994.9,2021.8,2054.1,2067.1,2208.1,2366.0,2532.8,2727.0,2953.8,3053.4,3290.0,3445.7,3268.0,3648.3,4114.8,4442.4,4667.5,5074.1,5542.6,5784.2,6265.9,6619.9,6871.6,7269.1,7708.6,8235.9,8745.9,9540.6,10083.8,10631.5,11120.2,12283.0,12985.6,13624.9,14404.1,15211.1,15893.8,16143.8,16273.8,16792.2,17377.0,18272.1,19108.8,20872.6,21665.2,22369.5,22665.6,24621.9,25664.1,27148.3,28936.9,29971.5,31056.3,33640.2,35814.4,36932.9,37172.9,39789.0,42513.8,44766.0,46264.8,47893.1,48057.5,52440.7,54403.2
 "11000","District of Columbia",2,SAINC51,52,"...","Population (persons) 1/","Number of persons",840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,604795,617794,631132,644755,654557,665633,673833,680945,685632,687408,690093,670050
 "11000","District of Columbia",2,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1937,2085,2218,2275,2348,2307,2345,2334,2538,2615,2671,2699,2702,2838,3003,3174,3417,3706,3860,4159,4429,4289,4832,5482,5973,6362,7040,7803,8307,9191,9880,10481,11389,12103,12987,13829,15063,15891,16657,17459,19483,20805,22509,23972,25455,26699,27398,28033,29338,30608,32327,33512,36488,37711,39028,39869,43367,45252,47572,50377,51654,52440,55622,57971,58518,57654,60788,63870,66435,67942,69852,69911,75991,81193
 "12000","Florida",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",2954.6,3103.9,3530.2,3904.3,4384.5,4903.0,5204.7,5948.5,6839.4,7568.1,8302.8,9134.4,9562.1,10142.4,10940.1,11744.0,12936.6,14104.4,15442.1,16919.3,19227.3,22087.9,25273.2,28559.0,32351.3,37875.0,42742.3,47473.6,51512.6,57522.4,65892.7,75217.9,88286.5,102159.9,109537.0,123835.1,139210.3,150504.2,162278.4,175396.5,193507.7,215200.4,230870.1,242322.3,256738.8,271888.0,285959.7,306845.3,323567.9,339638.1,365481.7,382693.1,413364.1,437358.8,461964.5,492682.9,533007.8,572767.0,621445.7,648299.1,656289.0,632713.4,673929.1,701600.9,726910.8,720919.2,770777.3,817210.6,857117.4,902277.3,973275.9,1019697.9,1090891.0,1178341.4
 "12000","Florida",5,SAINC51,52,"...","Population (persons) 1/","Number of persons",2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18842884,19039100,19271885,19507621,19795405,20145580,20537931,20871785,21133562,21354519,21569932,21781128
 "12000","Florida",5,SAINC51,53,"...","Per capita disposable personal income (dollars) 2/","Dollars",1146,1163,1256,1310,1389,1481,1485,1588,1690,1731,1793,1900,1911,1934,2004,2087,2238,2369,2530,2711,2989,3326,3692,3987,4302,4778,5139,5558,5924,6471,7216,7942,8972,10023,10461,11520,12610,13259,13909,14620,15724,17028,17714,18125,18808,19522,20082,21107,21784,22365,23600,24283,25759,26738,27680,28974,30606,32102,34207,35295,35423,33921,35766,36851,37719,36956,38937,40565,41733,43230,46054,47751,50575,54099
 "13000","Georgia",5,SAINC51,51,"...","Disposable personal income (millions of dollars)","Millions of dollars",3039.2,3070.6,3550.5,4062.8,4334.0,4496.3,4501.5,4955.2,5293.4,5454.8,5692.2,6047.5,6278.5,6567.9,7022.9,7631.0,8320.3,9166.0,10053.5,10977.1,11973.5,13147.0,14519.2,16197.5,17928.6,20408.4,22369.6,24632.4,27155.8,29844.9,33645.0,37198.6,41621.2,46954.7,51135.4,55913.6,63705.3,69268.2,75694.2,81076.5,88904.0,95405.5,102154.5,107942.4,117136.5,123924.0,133252.9,143493.7,154032.0,163024.7,178051.7,189654.8,204916.3,216246.9,227959.2,239385.3,253112.9,266500.8,282541.3,294897.7,299345.4,300374.9,307153.0,325286.6,334879.0,336563.2,359276.9,379652.7,395101.8,416477.8,440840.0,462549.0,498746.8,531247.3
